"","trp1_l61_2mM","his1_l61_2mM","trp1_l67","his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P5:AD:Jerala_P8",2649,196,202,2,149.946607548306,-0.441417153314662,0.413180266831521,0.0575567887474578,NA
"DBD:Jerala_P5:AD:Jerala_P9",2917,257,166,8,181.552956719958,-0.141683367964731,0.322275401160858,0.511483902833587,NA
"DBD:Jerala_P5:AD:Jerala_P10",2038,135,77,2,90.0032413176208,-0.196701126896542,0.403424074607744,0.341162212676091,NA
"DBD:Jerala_P5:AD:Jerala_P11",2945,871,204,36,428.065477878898,0.628088408873215,0.526255773961702,0.0166976581749871,0.0383427706240444
"DBD:Jerala_P5:AD:Jerala_P12",3141,283,220,6,197.168232634491,-0.254819777381306,0.34042160570446,0.243523569099785,NA
"DBD:Jerala_P6:AD:Jerala_P1",2453,166,126,1,112.796055291209,-0.33199200244752,0.419571816450715,0.13320205225857,NA
"DBD:Jerala_P6:AD:Jerala_P2",2679,1363,178,21,423.893167694871,0.785407359441393,0.658091394380466,0.0086782378469022,0.0269025373253968
"DBD:Jerala_P6:AD:Jerala_P3",2999,230,192,10,196.358253899757,-0.196426881556327,0.32911864270416,0.364995480941717,NA
"DBD:Jerala_P6:AD:Jerala_P4",1449,119,184,19,192.944730189456,0.0703202620683541,0.373763500587338,0.731096420719494,NA
"DBD:Jerala_P6:AD:Jerala_P5",1663,3625,158,1237,6580.99398287723,6.2012560879521,1.06906564414702,3.955402745901e-09,2.04362475204885e-08
"DBD:Jerala_P6:AD:Jerala_P6",23,6,1,1,6.45876430310605,0.263307977615749,1.5380676768925,0.530032426464262,NA
"DBD:Jerala_P6:AD:Jerala_P7",3166,244,160,5,167.324431994884,-0.248419127475602,0.336754864096346,0.255188136944358,NA
"DBD:Jerala_P6:AD:Jerala_P8",2849,193,105,14,179.221862079883,0.0418474868554985,0.336781454390954,0.844389131187324,NA
"DBD:Jerala_P6:AD:Jerala_P9",1546,2437,163,357,2181.21421816752,4.34072232005628,1.54458439736246,0.000202470161960216,0.000965626926271798
"DBD:Jerala_P6:AD:Jerala_P10",2524,159,164,374,1907.59386793749,2.37203118229316,2.19025237921311,0.00711320240001919,0.024501030488955
"DBD:Jerala_P6:AD:Jerala_P11",2376,196,122,14,177.262404777932,0.0659478361515097,0.333061827504297,0.757884551351185,NA
"DBD:Jerala_P6:AD:Jerala_P12",1919,140,219,11,177.105527852422,-0.22656476651529,0.365483745115163,0.292261530572016,NA
"DBD:Jerala_P7:AD:Jerala_P1",1688,122,47,1,67.723041761641,-0.10904689943038,0.448722704634151,0.561594114634392,NA
