"","trp1_l61_2mM","his1_l61_2mM","trp1_l62_2mM","his1_l62_2mM","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P12:AD:Jerala_P2",4263,289,3205,200,993.790504546572,-0.0196759879244345,0.138678072148527,0.395056747662074,0.789400084079914
"DBD:Jerala_P12:AD:Jerala_P3",3173,284,1265,75,621.917945792233,-0.00987573380604072,0.179876671018255,0.791960028358628,0.844757363582537
"DBD:Jerala_P12:AD:Jerala_P4",1707,113,2022,117,494.774066576318,-0.0240620756985479,0.163693210605797,0.394112014813439,0.789400084079914
"DBD:Jerala_P12:AD:Jerala_P5",3629,255,4485,274,1104.32411360099,-0.0182232581710123,0.148283977803036,0.485790768812061,0.789400084079914
"DBD:Jerala_P12:AD:Jerala_P6",3169,220,3638,242,942.464172835794,-0.0144812090282998,0.136458076303134,0.551524556902308,0.789400084079914
"DBD:Jerala_P12:AD:Jerala_P7",3227,461,5175,265,1273.96001232211,-0.00346664899435906,0.120488792234409,0.880188823714213,0.892585849400328
"DBD:Jerala_P12:AD:Jerala_P8",3097,217,2890,194,823.843004163466,-0.014068411539075,0.12370409556272,0.507049527588524,0.789400084079914
"DBD:Jerala_P12:AD:Jerala_P9",2249,144,1442,241,639.003468645389,0.0152797313160349,0.163737830467474,0.627295299411749,0.789400084079914
"DBD:Jerala_P12:AD:Jerala_P10",3112,496,3535,5395,6507.10446036227,2.73367669497055,1.6470190232003,0.00267877219860298,0.0183687236475633
"DBD:Jerala_P12:AD:Jerala_P11",1503,35130,822,15002,41725.8961228205,7.740452435439,0.634341711426386,7.3724828892597e-35,1.76939589342233e-33
"DBD:Jerala_P12:AD:Jerala_P12",3174,353,1433,86,698.068387079136,0.000433264742795184,0.170760340594872,0.990395978561672,0.990395978561672
