"","trp1_l62_2mM","his1_l62_2mM","trp1_l67","his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P12:AD:Jerala_P1",834,50,192,9,116.908523627667,-0.0153934991808361,0.156750031509037,0.450219266657414,NA
"DBD:Jerala_P3:AD:Jerala_P2",4677,1749,150,15,566.248045149362,0.188928429023287,0.66124118577389,0.0818964607119216,0.125994554941418
"DBD:Jerala_P4:AD:Jerala_P2",1817,102,145,4,109.553490690369,-0.0224921115972677,0.162003344795209,0.242412965333603,NA
"DBD:Jerala_P5:AD:Jerala_P2",3895,255,321,12,260.696619319878,-0.0104159584381419,0.104332435720414,0.400896959526268,0.552961323484507
"DBD:Jerala_P6:AD:Jerala_P2",2270,149,178,21,211.451372638037,0.00876539560264382,0.106328062052214,0.504935308302856,NA
"DBD:Jerala_P7:AD:Jerala_P2",2149,119,158,8,139.978637734419,-0.00899436213638412,0.102456450998177,0.469928573569007,NA
"DBD:Jerala_P8:AD:Jerala_P2",3787,315,228,7,224.506637414145,-0.00387306035851816,0.0827750391989259,0.713307728154021,NA
"DBD:Jerala_P9:AD:Jerala_P2",2000,106,193,26,223.805732128505,0.0136584615913922,0.137784058879949,0.428546940385631,NA
"DBD:Jerala_P10:AD:Jerala_P2",6044,422,166,9,277.040913985902,-0.00119415135917914,0.0871831409849186,0.917769951728999,0.942255055529513
"DBD:Jerala_P11:AD:Jerala_P2",1686,171,108,7,125.605456756296,0.00544796787037762,0.087870605629368,0.620669543330739,NA
"DBD:Jerala_P12:AD:Jerala_P2",3205,200,152,3,151.356705755163,-0.012696106501623,0.124329545055348,0.400375628075169,NA
"DBD:Jerala_P4:AD:Jerala_P3",1087,70559,85,2203,25179.3280290004,9.19105520596596,0.570910977390567,9.54878289097912e-59,1.27317105213055e-57
"DBD:Jerala_P5:AD:Jerala_P3",2417,147,143,12,164.100288682565,0.000154434740334846,0.0755968046859858,0.987473832942116,NA
"DBD:Jerala_P6:AD:Jerala_P3",1166,75,192,10,132.26818235795,-0.00892844480583206,0.119660869139819,0.563358101162849,NA
"DBD:Jerala_P7:AD:Jerala_P3",1483,92,162,5,110.918425566685,-0.0212831759214108,0.160109077886629,0.266690964231001,NA
"DBD:Jerala_P8:AD:Jerala_P3",1757,89,235,159,815.456767450834,0.447419151148547,1.18883662412435,0.0586598726351377,0.0977664543918961
"DBD:Jerala_P9:AD:Jerala_P3",3530,163,299,19,259.522504468492,-0.00654467556462212,0.0955746799435127,0.584508340980739,0.668009532549416
"DBD:Jerala_P10:AD:Jerala_P3",4536,309,505,59,541.078280152641,0.0167188590506878,0.196314729385357,0.557543673095751,0.664049057231053
"DBD:Jerala_P11:AD:Jerala_P3",3184,572,116,3,222.370095373576,0.0264111261781096,0.192176952261804,0.268905394248819,NA
"DBD:Jerala_P12:AD:Jerala_P3",1265,75,137,156,764.249013032214,1.09346345162181,1.7985587602261,0.0187515495212726,0.0446873369729852
"DBD:Jerala_P5:AD:Jerala_P4",1255,77,100,7,95.7862873516256,-0.00295650117138413,0.0912201405319746,0.805719391824313,NA
"DBD:Jerala_P6:AD:Jerala_P4",1061,66,184,19,166.167771889411,0.00848049421196509,0.127871053054498,0.620559864977464,NA
"DBD:Jerala_P7:AD:Jerala_P4",1347,88,193,11,142.788145416792,-0.00594029886580569,0.104460234556536,0.662587270297421,NA
"DBD:Jerala_P8:AD:Jerala_P4",2412,169,130,2,121.065580295287,-0.010826718717927,0.120381914426112,0.469532885355833,NA
"DBD:Jerala_P9:AD:Jerala_P4",1269,67,125,7,100.662947665392,-0.0101012669847363,0.11849722270129,0.496715602967506,NA
"DBD:Jerala_P10:AD:Jerala_P4",3674,219,135,5,167.446554521388,-0.00712643493025782,0.0984657495724677,0.56200288305702,NA
"DBD:Jerala_P11:AD:Jerala_P4",2329,351,87,9,178.616158892528,0.0501984092088375,0.247456779333028,0.10416358871886,NA
