,count_DBDAD_trp1_l62_2mM,count_ADDBD_trp1_l62_2mM,count_DBDAD_his1_l62_2mM,count_ADDBD_his1_l62_2mM,count_DBDAD_trp1_l67,count_ADDBD_trp1_l67,count_DBDAD_his1_l67,count_ADDBD_his1_l67
Jerala_P10:Jerala_P4,4222.0,3674.0,2446.0,219.0,244.0,135.0,30.0,5.0
Jerala_P11:Jerala_P4,1717.0,2329.0,128.0,351.0,130.0,87.0,16.0,9.0
Jerala_P12:Jerala_P4,1136.0,2022.0,15557.0,117.0,214.0,203.0,6.0,12.0
Jerala_P5:Jerala_P6,2184.0,1499.0,9798.0,332.0,220.0,158.0,5264.0,1237.0
Jerala_P5:Jerala_P7,6117.0,2053.0,342.0,107.0,192.0,63.0,8.0,14.0
Jerala_P5:Jerala_P8,2363.0,2825.0,153.0,171.0,202.0,140.0,2.0,5.0
Jerala_P5:Jerala_P9,2292.0,3753.0,143.0,4194.0,166.0,113.0,8.0,11.0
Jerala_P10:Jerala_P5,5026.0,3297.0,270.0,218.0,77.0,234.0,2.0,6.0
Jerala_P11:Jerala_P5,1664.0,3164.0,89.0,6665.0,204.0,136.0,36.0,19.0
Jerala_P12:Jerala_P5,3938.0,4485.0,221.0,274.0,220.0,152.0,6.0,8.0
Jerala_P6:Jerala_P7,1850.0,1417.0,115.0,95.0,160.0,140.0,5.0,4.0
Jerala_P6:Jerala_P8,1720.0,4016.0,117.0,254.0,105.0,208.0,14.0,14.0
Jerala_P6:Jerala_P9,1299.0,2971.0,95.0,159.0,163.0,131.0,357.0,6.0
Jerala_P10:Jerala_P6,741.0,4966.0,44.0,333.0,164.0,256.0,374.0,33.0
Jerala_P11:Jerala_P6,2009.0,3874.0,111.0,272.0,122.0,81.0,14.0,8.0
Jerala_P12:Jerala_P6,1407.0,3638.0,91.0,242.0,219.0,278.0,11.0,13.0
Jerala_P7:Jerala_P8,1392.0,2410.0,746.0,18154.0,92.0,97.0,2263.0,3182.0
Jerala_P7:Jerala_P9,983.0,4101.0,56.0,178.0,160.0,186.0,11.0,8.0
Jerala_P10:Jerala_P7,1790.0,1732.0,110.0,107.0,58.0,294.0,3.0,13.0
Jerala_P11:Jerala_P7,1954.0,3782.0,136.0,382.0,92.0,61.0,5.0,3.0
Jerala_P12:Jerala_P7,1444.0,5175.0,75.0,265.0,157.0,206.0,6.0,8.0
Jerala_P8:Jerala_P9,3173.0,2754.0,209.0,126.0,50.0,176.0,3.0,17.0
Jerala_P10:Jerala_P8,3672.0,11007.0,228.0,741.0,179.0,187.0,5.0,6.0
Jerala_P11:Jerala_P8,3954.0,2516.0,220.0,199.0,189.0,126.0,12.0,7.0
Jerala_P12:Jerala_P8,3632.0,2890.0,164.0,194.0,292.0,197.0,23.0,6.0
Jerala_P10:Jerala_P9,2408.0,1733.0,42353.0,70229.0,112.0,128.0,2876.0,4934.0
Jerala_P11:Jerala_P9,2956.0,835.0,130.0,78.0,153.0,102.0,7.0,4.0
Jerala_P12:Jerala_P9,2564.0,1442.0,229.0,241.0,259.0,60.0,13.0,2.0
Jerala_P10:Jerala_P11,4496.0,2542.0,310.0,389.0,213.0,142.0,5.0,3.0
Jerala_P10:Jerala_P12,3496.0,3535.0,227.0,5395.0,154.0,201.0,4.0,8.0
Jerala_P11:Jerala_P12,1351.0,822.0,5200.0,15002.0,183.0,121.0,5374.0,2719.0
Jerala_P1:Jerala_P1,5.0,5.0,11.0,16.0,4.0,4.0,0.0,0.0
Jerala_P2:Jerala_P2,23.0,23.0,5.0,8.0,2.0,2.0,1.0,2.0
Jerala_P3:Jerala_P3,1676.0,1676.0,2928.0,4410.0,51.0,51.0,2.0,3.0
Jerala_P4:Jerala_P4,5.0,5.0,4.0,5.0,2.0,2.0,0.0,0.0
Jerala_P5:Jerala_P5,1909.0,1909.0,133.0,201.0,51.0,51.0,1.0,2.0
Jerala_P6:Jerala_P6,6.0,6.0,2.0,3.0,1.0,1.0,1.0,2.0
Jerala_P7:Jerala_P7,1508.0,1508.0,79.0,119.0,68.0,68.0,1.0,2.0
Jerala_P8:Jerala_P8,6.0,6.0,2.0,3.0,1.0,1.0,0.0,0.0
Jerala_P12:Jerala_P12,1433.0,1433.0,68.0,102.0,104.0,104.0,1.0,2.0
