,count_DBDAD_trp1_l45,count_ADDBD_trp1_l45,count_DBDAD_his1_l45,count_ADDBD_his1_l45,count_DBDAD_trp1_l66,count_ADDBD_trp1_l66,count_DBDAD_his1_l66,count_ADDBD_his1_l66
Bfl-1:alphaBCLB,8024.0,11961.0,2375.0,4222.0,1273.0,1372.0,684.0,160.0
Bfl-1:alphaBFL1,9606.0,10719.0,38446.0,45510.0,928.0,1359.0,13955.0,6340.0
Bfl-1:alphaMCL1,13591.0,5932.0,8416.0,5662.0,1217.0,1867.0,2237.0,1779.0
FECM04:Mcl1[151-321],11931.0,8777.0,4886.0,7380.0,2982.0,2304.0,659.0,967.0
FECM04:XCDP07,1606.0,8574.0,137.0,2467.0,488.0,756.0,51.0,216.0
FECM04:alphaBCL2,8075.0,6238.0,404.0,506.0,1775.0,1429.0,290.0,269.0
FECM04:alphaBCLB,10066.0,14578.0,1130.0,2742.0,1103.0,938.0,404.0,153.0
FECM04:alphaBFL1,15989.0,11538.0,1504.0,1759.0,1314.0,1358.0,117.0,251.0
FECM04:alphaMCL1,11748.0,7601.0,1902.0,1114.0,1191.0,1602.0,238.0,193.0
Mcl1[151-321]:XCDP07,2070.0,10848.0,1609.0,48913.0,619.0,1130.0,5191.0,12462.0
Mcl1[151-321]:alphaBCL2,8790.0,8939.0,901.0,762.0,2205.0,3843.0,317.0,590.0
Mcl1[151-321]:alphaBCLB,10304.0,21979.0,3010.0,8049.0,1493.0,2019.0,227.0,194.0
Mcl1[151-321]:alphaBFL1,13738.0,16689.0,7778.0,9164.0,1789.0,3134.0,811.0,429.0
Mcl1[151-321]:alphaMCL1,11884.0,11830.0,34855.0,46823.0,1457.0,2491.0,7195.0,12446.0
XCDP07:alphaBCL2,6651.0,1770.0,2025.0,77.0,890.0,402.0,360.0,335.0
XCDP07:alphaBCLB,7288.0,4159.0,4575.0,498.0,520.0,314.0,66.0,23.0
XCDP07:alphaBFL1,10580.0,2509.0,3742.0,235.0,529.0,544.0,188.0,94.0
XCDP07:alphaMCL1,10619.0,3279.0,2466.0,298.0,552.0,430.0,91.0,68.0
alphaBCL2:alphaBCLB,7112.0,19627.0,450.0,1598.0,1299.0,1128.0,161.0,188.0
alphaBCL2:alphaBFL1,11828.0,15257.0,645.0,1725.0,1375.0,1790.0,176.0,313.0
alphaBCL2:alphaMCL1,11492.0,8717.0,447.0,882.0,1333.0,1858.0,103.0,221.0
alphaBCLB:alphaBFL1,24575.0,12279.0,3957.0,1669.0,1001.0,1424.0,112.0,429.0
alphaBCLB:alphaMCL1,21093.0,8230.0,2722.0,1790.0,762.0,1238.0,87.0,230.0
alphaBFL1:alphaMCL1,19340.0,13820.0,1445.0,2100.0,1408.0,1394.0,136.0,167.0
2CDP06:2CDP06,153.0,153.0,7.0,10.0,5.0,5.0,1.0,2.0
BCDP01:BCDP01,1076.0,1076.0,4111.0,5895.0,42.0,42.0,37.0,50.0
BECM01:BECM01,9031.0,9031.0,3539.0,5074.0,40.0,40.0,7.0,10.0
Bcl-2:Bcl-2,3492.0,3492.0,1450.0,2079.0,992.0,992.0,204.0,275.0
Bcl-B:Bcl-B,586.0,586.0,924.0,1325.0,26.0,26.0,3.0,4.0
Bcl-w:Bcl-w,679.0,679.0,38.0,54.0,857.0,857.0,174.0,234.0
Bcl-xL:Bcl-xL,56.0,56.0,38.0,54.0,754.0,754.0,379.0,511.0
Bfl-1:Bfl-1,3335.0,3335.0,2084.0,2988.0,438.0,438.0,153.0,207.0
FECM04:FECM04,7663.0,7663.0,799.0,1146.0,20.0,20.0,5.0,6.0
Mcl1[151-321]:Mcl1[151-321],4936.0,4936.0,2841.0,4073.0,866.0,866.0,210.0,283.0
XCDP07:XCDP07,695.0,695.0,313.0,449.0,76.0,76.0,39.0,52.0
alphaBCL2:alphaBCL2,2153.0,2153.0,90.0,129.0,9.0,9.0,5.0,6.0
alphaBCLB:alphaBCLB,8010.0,8010.0,2746.0,3938.0,74.0,74.0,8.0,11.0
alphaBFL1:alphaBFL1,2260.0,2260.0,652.0,935.0,97.0,97.0,17.0,23.0
alphaMCL1:alphaMCL1,7951.0,7951.0,984.0,1411.0,3.0,3.0,1.0,2.0
