,trp1_l43,his1_l43,trp1_l44,his1_l44,trp1_l49,his1_l49
DBD:A_ZCON_13:AD:mALb8_B,2.0,7.0,161.0,8.0,2.0,1.0
DBD:A_ZCON_13:AD:mALb8_cutT1_A,1.0,0.0,103.0,4.0,4.0,1.0
DBD:A_ZCON_13:AD:mALb8_cutT1_B,5.0,3.0,174.0,16.0,19.0,5.0
DBD:A_ZCON_13:AD:mALb8_cutT2_B,302.0,0.0,172.0,12.0,11.0,1.0
DBD:A_ZCON_13:AD:mALb8_cutT3_A,908.0,3.0,117.0,6.0,10.0,1.0
DBD:A_ZCON_13:AD:mALb8_cutT3_B,65.0,0.0,216.0,51.0,5.0,1.0
DBD:A_ZCON_13:AD:mALb8_cutT4_B,3.0,0.0,49.0,1.0,10.0,0.0
DBD:A_ZCON_150:AD:A_ZCON_13,1410.0,56.0,487.0,20.0,20.0,0.0
DBD:A_ZCON_150:AD:A_ZCON_150,6151.0,257.0,841.0,161.0,23.0,9.0
DBD:A_ZCON_150:AD:A_ZCON_154,5814.0,511.0,489.0,28.0,88.0,8.0
DBD:A_ZCON_150:AD:A_ZCON_155,6493.0,493.0,461.0,60.0,121.0,4.0
DBD:A_ZCON_150:AD:A_ZCON_15_re_loop,5680.0,234.0,192.0,20.0,21.0,6.0
DBD:A_ZCON_150:AD:A_ZCON_162,3218.0,145.0,408.0,52.0,19.0,0.0
DBD:A_ZCON_150:AD:A_ZCON_37_3,685.0,87.0,242.0,77.0,16.0,5.0
DBD:A_ZCON_150:AD:A_ZCON_37,3768.0,93.0,313.0,29.0,44.0,3.0
DBD:A_ZCON_150:AD:A_ZCON_6,2550.0,56.0,310.0,51.0,37.0,4.0
DBD:A_ZCON_150:AD:B_ZCON_13,2379.0,211.0,214.0,0.0,22.0,1.0
DBD:A_ZCON_150:AD:B_ZCON_150,5976.0,454.0,380.0,72.0,23.0,1.0
DBD:A_ZCON_150:AD:B_ZCON_154,5195.0,851.0,484.0,58.0,57.0,8.0
DBD:A_ZCON_150:AD:B_ZCON_155,1078.0,103.0,382.0,83.0,14.0,2.0
DBD:A_ZCON_150:AD:B_ZCON_15_re_loop,3770.0,357.0,1355.0,188.0,47.0,8.0
DBD:A_ZCON_150:AD:B_ZCON_162,3130.0,230.0,669.0,35.0,28.0,7.0
DBD:A_ZCON_150:AD:B_ZCON_37_3,3403.0,147.0,610.0,69.0,20.0,0.0
DBD:A_ZCON_150:AD:B_ZCON_37,2152.0,71.0,403.0,46.0,16.0,2.0
DBD:A_ZCON_150:AD:B_ZCON_6,2520.0,373.0,322.0,35.0,51.0,36.0
DBD:A_ZCON_150:AD:DHDr2_00_A,5069.0,192.0,609.0,57.0,30.0,0.0
DBD:A_ZCON_150:AD:DHDr2_00_B,1826.0,139.0,405.0,38.0,16.0,3.0
DBD:A_ZCON_150:AD:DHDr2_01_A,664.0,1.0,108.0,18.0,17.0,1.0
DBD:A_ZCON_150:AD:DHDr2_01_B,3470.0,141.0,324.0,18.0,19.0,4.0
DBD:A_ZCON_150:AD:DHDr2_02_A,894.0,96.0,180.0,31.0,8.0,0.0
DBD:A_ZCON_150:AD:DHDr2_02_B,27.0,2.0,10.0,5.0,30.0,1.0
DBD:A_ZCON_150:AD:DHDr2_03_A,2300.0,71.0,312.0,33.0,7.0,0.0
DBD:A_ZCON_150:AD:DHDr2_03_B,7926.0,867.0,524.0,101.0,52.0,32.0
DBD:A_ZCON_150:AD:DHDr2_04_A,3127.0,111.0,503.0,185.0,21.0,1.0
DBD:A_ZCON_150:AD:DHDr2_04_B,4042.0,39.0,863.0,101.0,64.0,30.0
DBD:A_ZCON_150:AD:DHDr2_05_A,9559.0,263.0,393.0,106.0,23.0,3.0
DBD:A_ZCON_150:AD:DHDr2_05_B,6003.0,254.0,1013.0,107.0,72.0,6.0
DBD:A_ZCON_150:AD:DHDr2_06_A,3144.0,101.0,419.0,75.0,14.0,2.0
DBD:A_ZCON_150:AD:DHDr2_06_B,1492.0,55.0,449.0,73.0,19.0,3.0
DBD:A_ZCON_150:AD:DHDr2_07_A,2327.0,207.0,480.0,133.0,24.0,5.0
DBD:A_ZCON_150:AD:DHDr2_07_B,3796.0,5054.0,555.0,84.0,18.0,4.0
DBD:A_ZCON_150:AD:DHDr2_08_A,1253.0,12.0,604.0,83.0,15.0,5.0
DBD:A_ZCON_150:AD:DHDr2_08_B,5432.0,117.0,508.0,58.0,16.0,8.0
DBD:A_ZCON_150:AD:DHDr2_09_A,957.0,197.0,395.0,75.0,9.0,3.0
DBD:A_ZCON_150:AD:DHDr2_09_B,4875.0,293.0,192.0,90.0,16.0,1.0
DBD:A_ZCON_150:AD:DHDr2_10_A,4463.0,428.0,614.0,148.0,29.0,6.0
DBD:A_ZCON_150:AD:DHDr2_10_B,2589.0,238.0,395.0,96.0,12.0,2.0
DBD:A_ZCON_150:AD:DHDr2_11_A,4020.0,115.0,513.0,23.0,11.0,2.0
DBD:A_ZCON_150:AD:DHDr2_11_B,8453.0,756.0,948.0,156.0,41.0,2.0
DBD:A_ZCON_150:AD:DHDr2_12_A,213.0,19.0,127.0,8.0,3.0,0.0
DBD:A_ZCON_150:AD:DHDr2_12_B,3643.0,142.0,631.0,75.0,38.0,0.0
DBD:A_ZCON_150:AD:DHDr2_13_A,2520.0,208.0,322.0,62.0,28.0,11.0
DBD:A_ZCON_150:AD:DHDr2_13_B,9848.0,431.0,898.0,3206.0,38.0,1.0
DBD:A_ZCON_150:AD:DHDr2_14_A,1995.0,66.0,318.0,27.0,16.0,0.0
DBD:A_ZCON_150:AD:DHDr2_14_B,1547.0,90.0,396.0,65.0,22.0,0.0
DBD:A_ZCON_150:AD:DHDr2_15_A,3214.0,20.0,445.0,24.0,49.0,1.0
DBD:A_ZCON_150:AD:DHDr2_15_B,5220.0,593.0,399.0,53.0,13.0,2.0
DBD:A_ZCON_150:AD:DHDr2_16_A,4153.0,186.0,489.0,30.0,11.0,6.0
DBD:A_ZCON_150:AD:DHDr2_16_B,3702.0,363.0,707.0,193.0,62.0,5.0
DBD:A_ZCON_150:AD:DHDr2_17_A,55.0,5.0,23.0,1.0,1.0,2.0
DBD:A_ZCON_150:AD:DHDr2_17_B,3404.0,255.0,350.0,1456.0,25.0,3.0
DBD:A_ZCON_150:AD:DHDr2_18_A,4072.0,135.0,439.0,21.0,34.0,2.0
DBD:A_ZCON_150:AD:DHDr2_18_B,4967.0,245.0,801.0,56.0,49.0,3.0
DBD:A_ZCON_150:AD:DHDr2_19_A,6561.0,531.0,423.0,14.0,20.0,4.0
DBD:A_ZCON_150:AD:DHDr2_19_B,2163.0,459.0,573.0,54.0,50.0,30.0
DBD:A_ZCON_150:AD:DHDr2_20_A,1805.0,258.0,349.0,6.0,18.0,2.0
DBD:A_ZCON_150:AD:DHDr2_20_B,1947.0,165.0,629.0,66.0,21.0,1.0
DBD:A_ZCON_150:AD:ZCON_150_LL_A,11541.0,803.0,462.0,57.0,47.0,1.0
DBD:A_ZCON_150:AD:ZCON_150_LL_B,8350.0,988.0,697.0,144.0,37.0,4.0
DBD:A_ZCON_150:AD:ZCON_150_resurf_A,1978.0,201.0,669.0,48.0,10.0,2.0
DBD:A_ZCON_150:AD:ZCON_150_resurf_B,1799.0,145.0,263.0,65.0,17.0,5.0
DBD:A_ZCON_150:AD:ZCON_152_A,2266.0,296.0,495.0,61.0,3.0,1.0
DBD:A_ZCON_150:AD:ZCON_152_B,3472.0,318.0,491.0,85.0,13.0,0.0
DBD:A_ZCON_150:AD:ZCON_152_T2_A,1298.0,166.0,452.0,75.0,52.0,3.0
DBD:A_ZCON_150:AD:ZCON_152_T2_B,2604.0,91.0,399.0,80.0,21.0,2.0
