,trp1_l43,his1_l43,trp1_l44,his1_l44,trp1_l49,his1_l49
DBD:DHDr2_16_B:AD:ZCON_15_re_loop_LL_B,6016.0,447.0,676.0,47.0,107.0,25.0
DBD:DHDr2_16_B:AD:ZCON_15_re_loop_resurf_A,858.0,15.0,243.0,26.0,23.0,13.0
DBD:DHDr2_16_B:AD:ZCON_15_re_loop_resurf_B,2534.0,36.0,269.0,29.0,32.0,2.0
DBD:DHDr2_16_B:AD:ZCON_2_CC_A,5345.0,244.0,309.0,26.0,44.0,4.0
DBD:DHDr2_16_B:AD:ZCON_2_CC_B,1.0,0.0,49.0,2.0,10.0,5.0
DBD:DHDr2_16_B:AD:ZCON_2_CC_resurf_A,3640.0,83.0,210.0,46.0,24.0,0.0
DBD:DHDr2_16_B:AD:ZCON_2_CC_resurf_B,831.0,44.0,545.0,143.0,88.0,12.0
DBD:DHDr2_16_B:AD:ZCON_2_CC_resurf_cutT2_A,347.0,32.0,510.0,24.0,45.0,0.0
DBD:DHDr2_16_B:AD:ZCON_2_CC_resurf_cutT2_B,1072.0,16.0,1396.0,181.0,168.0,3.0
DBD:DHDr2_16_B:AD:ZCON_2_CC_resurf_cutT4_A,3.0,9.0,199.0,22.0,44.0,4.0
DBD:DHDr2_16_B:AD:ZCON_2_CC_resurf_cutT4_B,466.0,6.0,495.0,63.0,101.0,6.0
DBD:DHDr2_16_B:AD:ZCON_2_CC_resurf_cutT6_A,2.0,0.0,264.0,57.0,62.0,1.0
DBD:DHDr2_16_B:AD:ZCON_2_CC_resurf_cutT6_B,922.0,25.0,298.0,1336.0,36.0,0.0
DBD:DHDr2_16_B:AD:ZCON_37_LL_A,4275.0,336.0,602.0,92.0,74.0,17.0
DBD:DHDr2_16_B:AD:ZCON_37_LL_B,2683.0,229.0,721.0,74.0,73.0,9.0
DBD:DHDr2_16_B:AD:ZCON_37_resurf_A,832.0,25.0,101.0,27.0,29.0,2.0
DBD:DHDr2_16_B:AD:ZCON_37_resurf_B,50.0,16.0,410.0,156.0,11.0,10.0
DBD:DHDr2_16_B:AD:ZCON_VR_2_A,563.0,19.0,106.0,3.0,47.0,19.0
DBD:DHDr2_16_B:AD:ZCON_VR_2_B,2579.0,116.0,533.0,73.0,85.0,30.0
DBD:DHDr2_16_B:AD:ZCON_VR_2_cutT2_A,1598.0,166.0,438.0,4501.0,54.0,7.0
DBD:DHDr2_16_B:AD:ZCON_VR_2_cutT2_B,2458.0,373.0,464.0,51.0,79.0,4.0
DBD:DHDr2_16_B:AD:ZCON_VR_2_cutT4_A,571.0,51.0,526.0,94.0,154.0,14.0
DBD:DHDr2_16_B:AD:ZCON_VR_2_cutT4_B,1229.0,64.0,286.0,7.0,72.0,6.0
DBD:DHDr2_16_B:AD:ZCON_VR_2_cutT6_A,1169.0,4.0,275.0,328.0,119.0,2.0
DBD:DHDr2_16_B:AD:ZCON_VR_2_cutT6_B,664.0,2.0,312.0,47.0,80.0,0.0
DBD:DHDr2_16_B:AD:ZCON_VR_2_resurf_A,2078.0,158.0,186.0,16.0,3.0,1.0
DBD:DHDr2_16_B:AD:ZCON_VR_2_resurf_B,809.0,142.0,217.0,88.0,37.0,27.0
DBD:DHDr2_16_B:AD:mALb8_A,368.0,76.0,123.0,14.0,62.0,7.0
DBD:DHDr2_16_B:AD:mALb8_B,357.0,55.0,235.0,16.0,35.0,0.0
DBD:DHDr2_16_B:AD:mALb8_cutT1_A,1650.0,271.0,166.0,12.0,75.0,1.0
DBD:DHDr2_16_B:AD:mALb8_cutT1_B,5.0,8.0,261.0,99.0,97.0,11.0
DBD:DHDr2_16_B:AD:mALb8_cutT2_A,12.0,1.0,155.0,8322.0,68.0,1.0
DBD:DHDr2_16_B:AD:mALb8_cutT2_B,510.0,12.0,371.0,109.0,43.0,0.0
DBD:DHDr2_16_B:AD:mALb8_cutT3_A,6.0,10.0,79.0,9.0,66.0,1.0
DBD:DHDr2_16_B:AD:mALb8_cutT3_B,306.0,0.0,324.0,14.0,37.0,2.0
DBD:DHDr2_16_B:AD:mALb8_cutT4_B,1.0,0.0,161.0,7.0,68.0,53.0
DBD:DHDr2_17_A:AD:A_ZCON_13,246.0,11.0,365.0,20.0,17.0,0.0
DBD:DHDr2_17_A:AD:A_ZCON_150,5082.0,364.0,459.0,33.0,31.0,2.0
DBD:DHDr2_17_A:AD:A_ZCON_154,2665.0,317.0,288.0,54.0,76.0,9.0
DBD:DHDr2_17_A:AD:A_ZCON_155,2524.0,23.0,594.0,40.0,117.0,3.0
DBD:DHDr2_17_A:AD:A_ZCON_15_re_loop,1398.0,70.0,193.0,12.0,22.0,3.0
DBD:DHDr2_17_A:AD:A_ZCON_162,2400.0,153.0,301.0,39.0,23.0,3.0
DBD:DHDr2_17_A:AD:A_ZCON_37_3,1363.0,28.0,361.0,22.0,21.0,5.0
DBD:DHDr2_17_A:AD:A_ZCON_37,2083.0,71.0,145.0,20.0,31.0,0.0
DBD:DHDr2_17_A:AD:A_ZCON_6,280.0,12.0,99.0,16.0,36.0,3.0
DBD:DHDr2_17_A:AD:B_ZCON_13,153.0,4.0,196.0,240.0,16.0,1.0
DBD:DHDr2_17_A:AD:B_ZCON_150,1040.0,65.0,127.0,56.0,35.0,1.0
DBD:DHDr2_17_A:AD:B_ZCON_154,1302.0,90.0,273.0,82.0,38.0,5.0
DBD:DHDr2_17_A:AD:B_ZCON_155,226.0,4.0,136.0,41.0,14.0,3.0
DBD:DHDr2_17_A:AD:B_ZCON_15_re_loop,3485.0,117.0,420.0,177.0,57.0,9.0
DBD:DHDr2_17_A:AD:B_ZCON_162,2697.0,259.0,138.0,7.0,23.0,6.0
DBD:DHDr2_17_A:AD:B_ZCON_37_3,1555.0,1.0,143.0,48.0,23.0,7.0
DBD:DHDr2_17_A:AD:B_ZCON_37,911.0,21.0,224.0,22.0,72.0,23.0
DBD:DHDr2_17_A:AD:B_ZCON_6,1521.0,81.0,66.0,10.0,21.0,3.0
DBD:DHDr2_17_A:AD:DHDr2_00_A,755.0,12.0,297.0,76.0,33.0,0.0
DBD:DHDr2_17_A:AD:DHDr2_00_B,1793.0,165.0,359.0,31.0,17.0,9.0
DBD:DHDr2_17_A:AD:DHDr2_01_A,13.0,0.0,43.0,2.0,5.0,1.0
DBD:DHDr2_17_A:AD:DHDr2_01_B,956.0,177.0,164.0,22.0,14.0,0.0
DBD:DHDr2_17_A:AD:DHDr2_02_A,416.0,382.0,48.0,6.0,13.0,21.0
DBD:DHDr2_17_A:AD:DHDr2_02_B,742.0,10.0,272.0,37.0,33.0,6.0
DBD:DHDr2_17_A:AD:DHDr2_03_A,245.0,4.0,252.0,64.0,10.0,0.0
DBD:DHDr2_17_A:AD:DHDr2_03_B,1295.0,94.0,207.0,11.0,54.0,61.0
DBD:DHDr2_17_A:AD:DHDr2_04_A,2831.0,110.0,194.0,23.0,20.0,2.0
DBD:DHDr2_17_A:AD:DHDr2_04_B,2472.0,50.0,555.0,164.0,77.0,32.0
DBD:DHDr2_17_A:AD:DHDr2_05_A,1382.0,39.0,245.0,38.0,52.0,4.0
DBD:DHDr2_17_A:AD:DHDr2_05_B,3537.0,158.0,1158.0,129.0,67.0,3.0
DBD:DHDr2_17_A:AD:DHDr2_06_A,1702.0,1508.0,160.0,145.0,26.0,5.0
DBD:DHDr2_17_A:AD:DHDr2_06_B,274.0,0.0,223.0,23.0,17.0,2.0
DBD:DHDr2_17_A:AD:DHDr2_07_A,10.0,3.0,44.0,8.0,29.0,7.0
DBD:DHDr2_17_A:AD:DHDr2_07_B,4004.0,88.0,372.0,50.0,30.0,3.0
DBD:DHDr2_17_A:AD:DHDr2_08_A,1380.0,115.0,151.0,24.0,18.0,8.0
DBD:DHDr2_17_A:AD:DHDr2_08_B,227.0,64.0,192.0,20.0,26.0,1.0
DBD:DHDr2_17_A:AD:DHDr2_09_A,1703.0,8.0,424.0,87.0,29.0,8.0
DBD:DHDr2_17_A:AD:DHDr2_09_B,4.0,8.0,72.0,35.0,27.0,5.0
DBD:DHDr2_17_A:AD:DHDr2_10_A,432.0,36.0,322.0,122.0,28.0,3.0
DBD:DHDr2_17_A:AD:DHDr2_10_B,3611.0,264.0,444.0,39.0,29.0,0.0
DBD:DHDr2_17_A:AD:DHDr2_11_A,253.0,153.0,189.0,21.0,9.0,1.0
DBD:DHDr2_17_A:AD:DHDr2_11_B,4140.0,13297.0,465.0,41.0,44.0,8.0
DBD:DHDr2_17_A:AD:DHDr2_12_A,117.0,11.0,123.0,21.0,5.0,3.0
DBD:DHDr2_17_A:AD:DHDr2_12_B,1507.0,1.0,457.0,110.0,33.0,1.0
DBD:DHDr2_17_A:AD:DHDr2_13_A,285.0,37.0,142.0,271.0,21.0,16.0
DBD:DHDr2_17_A:AD:DHDr2_13_B,860.0,7.0,488.0,39.0,23.0,1.0
DBD:DHDr2_17_A:AD:DHDr2_14_A,156.0,1.0,127.0,10.0,6.0,0.0
DBD:DHDr2_17_A:AD:DHDr2_14_B,2092.0,113.0,251.0,15.0,31.0,1.0
DBD:DHDr2_17_A:AD:DHDr2_15_A,1857.0,46.0,314.0,64.0,36.0,2.0
DBD:DHDr2_17_A:AD:DHDr2_15_B,1208.0,18.0,223.0,169.0,4.0,2.0
DBD:DHDr2_17_A:AD:DHDr2_16_A,1901.0,3.0,306.0,52.0,15.0,4.0
DBD:DHDr2_17_A:AD:DHDr2_16_B,1830.0,97.0,112.0,15.0,31.0,5.0
DBD:DHDr2_17_A:AD:DHDr2_17_A,3.0,0.0,122.0,2.0,5.0,6.0
DBD:DHDr2_17_A:AD:DHDr2_17_B,1121.0,4347.0,208.0,823.0,17.0,3.0
DBD:DHDr2_17_A:AD:DHDr2_18_A,1128.0,85.0,302.0,22.0,23.0,0.0
DBD:DHDr2_17_A:AD:DHDr2_18_B,3555.0,151.0,798.0,173.0,57.0,2.0
DBD:DHDr2_17_A:AD:DHDr2_19_A,231.0,14.0,195.0,42.0,12.0,2.0
DBD:DHDr2_17_A:AD:DHDr2_19_B,1928.0,117.0,571.0,83.0,32.0,33.0
DBD:DHDr2_17_A:AD:DHDr2_20_A,222.0,33.0,258.0,51.0,35.0,0.0
DBD:DHDr2_17_A:AD:DHDr2_20_B,462.0,27.0,261.0,6.0,25.0,1.0
DBD:DHDr2_17_A:AD:ZCON_150_LL_A,4162.0,299.0,446.0,76.0,51.0,1.0
DBD:DHDr2_17_A:AD:ZCON_150_LL_B,3916.0,290.0,605.0,147.0,42.0,5.0
DBD:DHDr2_17_A:AD:ZCON_150_resurf_A,4996.0,226.0,395.0,34.0,19.0,1.0
DBD:DHDr2_17_A:AD:ZCON_150_resurf_B,1974.0,35.0,168.0,80.0,25.0,6.0
DBD:DHDr2_17_A:AD:ZCON_152_A,1999.0,332.0,161.0,9.0,4.0,0.0
DBD:DHDr2_17_A:AD:ZCON_152_B,2535.0,136.0,133.0,16.0,15.0,2.0
DBD:DHDr2_17_A:AD:ZCON_152_T2_A,3.0,8.0,285.0,71.0,33.0,1.0
DBD:DHDr2_17_A:AD:ZCON_152_T2_B,15.0,23.0,203.0,71.0,13.0,6.0
DBD:DHDr2_17_A:AD:ZCON_152_T4_A,567.0,0.0,302.0,52.0,37.0,0.0
DBD:DHDr2_17_A:AD:ZCON_152_T4_B,6.0,0.0,228.0,35.0,17.0,0.0
DBD:DHDr2_17_A:AD:ZCON_154_LL_A,1025.0,55.0,811.0,395.0,74.0,22.0
DBD:DHDr2_17_A:AD:ZCON_154_LL_B,6237.0,201.0,502.0,222.0,90.0,15.0
DBD:DHDr2_17_A:AD:ZCON_154_resurf_A,1093.0,10.0,181.0,23.0,15.0,0.0
DBD:DHDr2_17_A:AD:ZCON_154_resurf_B,881.0,34.0,191.0,83.0,22.0,2.0
DBD:DHDr2_17_A:AD:ZCON_155_LL_A,5703.0,13515.0,1161.0,174.0,137.0,3.0
DBD:DHDr2_17_A:AD:ZCON_155_LL_B,649.0,11.0,377.0,34.0,58.0,14.0
DBD:DHDr2_17_A:AD:ZCON_155_cutT2_A,631.0,60.0,237.0,31.0,35.0,0.0
DBD:DHDr2_17_A:AD:ZCON_155_cutT2_B,5.0,2.0,232.0,16.0,68.0,21.0
DBD:DHDr2_17_A:AD:ZCON_155_cutT4_A,110.0,0.0,360.0,11.0,38.0,3.0
DBD:DHDr2_17_A:AD:ZCON_155_cutT4_B,3.0,0.0,229.0,27.0,75.0,1.0
DBD:DHDr2_17_A:AD:ZCON_155_cutT5_A,1.0,0.0,260.0,21.0,27.0,0.0
DBD:DHDr2_17_A:AD:ZCON_155_cutT5_B,1861.0,68.0,1296.0,157.0,166.0,3.0
DBD:DHDr2_17_A:AD:ZCON_155_resurf_A,4984.0,232.0,743.0,94.0,158.0,11.0
DBD:DHDr2_17_A:AD:ZCON_155_resurf_B,1404.0,69.0,178.0,16.0,19.0,12.0
DBD:DHDr2_17_A:AD:ZCON_15_re_loop_LL_A,2693.0,107.0,103.0,12.0,46.0,13.0
DBD:DHDr2_17_A:AD:ZCON_15_re_loop_LL_B,2217.0,344.0,638.0,70.0,82.0,20.0
DBD:DHDr2_17_A:AD:ZCON_15_re_loop_resurf_A,1760.0,69.0,171.0,68.0,8.0,11.0
DBD:DHDr2_17_A:AD:ZCON_15_re_loop_resurf_B,1721.0,287.0,179.0,17.0,51.0,17.0
DBD:DHDr2_17_A:AD:ZCON_2_CC_A,2466.0,484.0,290.0,35.0,25.0,0.0
DBD:DHDr2_17_A:AD:ZCON_2_CC_B,186.0,0.0,94.0,16.0,4.0,4.0
DBD:DHDr2_17_A:AD:ZCON_2_CC_resurf_A,4170.0,5.0,45.0,4.0,22.0,2.0
DBD:DHDr2_17_A:AD:ZCON_2_CC_resurf_B,1284.0,22.0,632.0,32.0,74.0,2.0
DBD:DHDr2_17_A:AD:ZCON_2_CC_resurf_cutT2_A,3738.0,410.0,337.0,11832.0,23.0,1.0
DBD:DHDr2_17_A:AD:ZCON_2_CC_resurf_cutT2_B,1018.0,4.0,867.0,145.0,164.0,5.0
DBD:DHDr2_17_A:AD:ZCON_2_CC_resurf_cutT4_A,5.0,2.0,102.0,25.0,39.0,1.0
DBD:DHDr2_17_A:AD:ZCON_2_CC_resurf_cutT4_B,694.0,13.0,240.0,13.0,52.0,0.0
DBD:DHDr2_17_A:AD:ZCON_2_CC_resurf_cutT6_A,227.0,0.0,399.0,64.0,48.0,0.0
DBD:DHDr2_17_A:AD:ZCON_2_CC_resurf_cutT6_B,4.0,0.0,69.0,10.0,33.0,1.0
DBD:DHDr2_17_A:AD:ZCON_37_LL_A,937.0,19.0,527.0,37.0,55.0,7.0
DBD:DHDr2_17_A:AD:ZCON_37_LL_B,1441.0,87.0,461.0,145.0,46.0,7.0
DBD:DHDr2_17_A:AD:ZCON_37_resurf_A,1644.0,34.0,64.0,2.0,30.0,0.0
DBD:DHDr2_17_A:AD:ZCON_37_resurf_B,2610.0,42.0,232.0,7.0,12.0,0.0
DBD:DHDr2_17_A:AD:ZCON_VR_2_A,232.0,535.0,207.0,60.0,12.0,27.0
DBD:DHDr2_17_A:AD:ZCON_VR_2_B,4004.0,350.0,410.0,99.0,44.0,9.0
DBD:DHDr2_17_A:AD:ZCON_VR_2_cutT2_A,1967.0,39.0,376.0,51.0,38.0,5.0
DBD:DHDr2_17_A:AD:ZCON_VR_2_cutT2_B,1005.0,50.0,400.0,44.0,72.0,6.0
DBD:DHDr2_17_A:AD:ZCON_VR_2_cutT4_A,404.0,9.0,272.0,7.0,60.0,2.0
DBD:DHDr2_17_A:AD:ZCON_VR_2_cutT4_B,10.0,17.0,347.0,32.0,73.0,0.0
DBD:DHDr2_17_A:AD:ZCON_VR_2_cutT6_A,3.0,0.0,303.0,14.0,35.0,1.0
DBD:DHDr2_17_A:AD:ZCON_VR_2_cutT6_B,460.0,0.0,357.0,112.0,54.0,1.0
DBD:DHDr2_17_A:AD:ZCON_VR_2_resurf_A,661.0,27.0,161.0,111.0,4.0,2.0
DBD:DHDr2_17_A:AD:ZCON_VR_2_resurf_B,1875.0,104.0,196.0,44.0,38.0,39.0
DBD:DHDr2_17_A:AD:mALb8_A,1746.0,116.0,582.0,49.0,55.0,11.0
DBD:DHDr2_17_A:AD:mALb8_B,2112.0,18.0,305.0,27.0,27.0,3.0
DBD:DHDr2_17_A:AD:mALb8_cutT1_A,416.0,0.0,63.0,11.0,22.0,0.0
DBD:DHDr2_17_A:AD:mALb8_cutT1_B,1568.0,1713.0,240.0,42.0,64.0,6.0
DBD:DHDr2_17_A:AD:mALb8_cutT2_A,533.0,0.0,522.0,75.0,52.0,3.0
DBD:DHDr2_17_A:AD:mALb8_cutT2_B,127.0,2.0,355.0,19.0,67.0,1.0
DBD:DHDr2_17_A:AD:mALb8_cutT3_A,1390.0,49.0,3.0,8.0,36.0,0.0
DBD:DHDr2_17_A:AD:mALb8_cutT4_A,189.0,0.0,117.0,59.0,25.0,0.0
DBD:DHDr2_17_A:AD:mALb8_cutT4_B,566.0,102.0,313.0,48.0,25.0,0.0
DBD:DHDr2_17_B:AD:A_ZCON_13,351.0,40.0,66.0,6.0,10.0,3.0
DBD:DHDr2_17_B:AD:A_ZCON_150,3405.0,307.0,498.0,106.0,11.0,3.0
DBD:DHDr2_17_B:AD:A_ZCON_154,2600.0,157.0,424.0,40.0,80.0,24.0
DBD:DHDr2_17_B:AD:A_ZCON_155,435.0,38.0,367.0,26.0,122.0,6.0
DBD:DHDr2_17_B:AD:A_ZCON_15_re_loop,1221.0,27.0,240.0,25.0,12.0,12.0
DBD:DHDr2_17_B:AD:A_ZCON_162,728.0,89.0,370.0,55.0,22.0,11.0
DBD:DHDr2_17_B:AD:A_ZCON_37_3,1904.0,27.0,150.0,15.0,27.0,18.0
DBD:DHDr2_17_B:AD:A_ZCON_37,2185.0,24.0,289.0,47.0,23.0,8.0
DBD:DHDr2_17_B:AD:A_ZCON_6,1398.0,20.0,359.0,221.0,29.0,9.0
DBD:DHDr2_17_B:AD:B_ZCON_13,900.0,17.0,170.0,16.0,31.0,4.0
DBD:DHDr2_17_B:AD:B_ZCON_150,1636.0,145.0,296.0,37.0,21.0,5.0
DBD:DHDr2_17_B:AD:B_ZCON_154,3953.0,311.0,343.0,54.0,18.0,23.0
DBD:DHDr2_17_B:AD:B_ZCON_155,111.0,45.0,343.0,24.0,16.0,22.0
DBD:DHDr2_17_B:AD:B_ZCON_15_re_loop,2013.0,73.0,562.0,81.0,56.0,41.0
DBD:DHDr2_17_B:AD:B_ZCON_162,3551.0,155.0,173.0,45.0,12.0,28.0
DBD:DHDr2_17_B:AD:B_ZCON_37_3,822.0,2.0,135.0,37.0,35.0,15.0
DBD:DHDr2_17_B:AD:B_ZCON_37,1369.0,60.0,374.0,22.0,12.0,4.0
DBD:DHDr2_17_B:AD:B_ZCON_6,1132.0,35.0,59.0,34.0,14.0,3.0
DBD:DHDr2_17_B:AD:DHDr2_00_A,1734.0,28.0,175.0,4.0,21.0,4.0
DBD:DHDr2_17_B:AD:DHDr2_00_B,694.0,87.0,139.0,5.0,7.0,28.0
DBD:DHDr2_17_B:AD:DHDr2_01_A,157.0,0.0,159.0,3.0,6.0,4.0
DBD:DHDr2_17_B:AD:DHDr2_01_B,511.0,46.0,289.0,52.0,6.0,1.0
DBD:DHDr2_17_B:AD:DHDr2_02_A,373.0,7.0,94.0,56.0,3.0,15.0
DBD:DHDr2_17_B:AD:DHDr2_02_B,596.0,1.0,122.0,23.0,35.0,13.0
DBD:DHDr2_17_B:AD:DHDr2_03_A,516.0,64.0,54.0,20.0,4.0,12.0
DBD:DHDr2_17_B:AD:DHDr2_03_B,2503.0,114.0,281.0,11.0,24.0,176.0
DBD:DHDr2_17_B:AD:DHDr2_04_A,489.0,19.0,172.0,27.0,17.0,6.0
DBD:DHDr2_17_B:AD:DHDr2_04_B,3378.0,90.0,101.0,10.0,30.0,106.0
DBD:DHDr2_17_B:AD:DHDr2_05_A,2195.0,346.0,58.0,4.0,17.0,15.0
DBD:DHDr2_17_B:AD:DHDr2_05_B,1101.0,8.0,364.0,30.0,61.0,13.0
DBD:DHDr2_17_B:AD:DHDr2_06_A,1236.0,13.0,299.0,26.0,14.0,12.0
DBD:DHDr2_17_B:AD:DHDr2_06_B,433.0,113.0,162.0,19.0,10.0,9.0
DBD:DHDr2_17_B:AD:DHDr2_07_A,2623.0,110.0,375.0,78.0,26.0,21.0
DBD:DHDr2_17_B:AD:DHDr2_07_B,645.0,6413.0,345.0,9884.0,17.0,140.0
DBD:DHDr2_17_B:AD:DHDr2_08_A,9.0,4.0,225.0,7.0,29.0,463.0
DBD:DHDr2_17_B:AD:DHDr2_08_B,2180.0,134.0,243.0,27.0,23.0,8.0
DBD:DHDr2_17_B:AD:DHDr2_09_A,1420.0,61.0,150.0,10.0,13.0,33.0
DBD:DHDr2_17_B:AD:DHDr2_09_B,50.0,3.0,223.0,2.0,11.0,12.0
DBD:DHDr2_17_B:AD:DHDr2_10_A,608.0,34.0,173.0,24.0,14.0,13.0
DBD:DHDr2_17_B:AD:DHDr2_10_B,1468.0,96.0,139.0,50.0,14.0,5.0
DBD:DHDr2_17_B:AD:DHDr2_11_A,795.0,10.0,330.0,69.0,7.0,6.0
DBD:DHDr2_17_B:AD:DHDr2_11_B,2981.0,34706.0,673.0,20605.0,49.0,3582.0
DBD:DHDr2_17_B:AD:DHDr2_12_A,284.0,34.0,84.0,17.0,3.0,10.0
DBD:DHDr2_17_B:AD:DHDr2_12_B,707.0,21.0,274.0,9.0,14.0,5.0
DBD:DHDr2_17_B:AD:DHDr2_13_A,2253.0,403.0,349.0,62.0,23.0,26.0
DBD:DHDr2_17_B:AD:DHDr2_13_B,3332.0,220.0,220.0,67.0,20.0,0.0
DBD:DHDr2_17_B:AD:DHDr2_14_A,802.0,31.0,131.0,5.0,12.0,2.0
DBD:DHDr2_17_B:AD:DHDr2_14_B,2193.0,208.0,181.0,64.0,9.0,2.0
DBD:DHDr2_17_B:AD:DHDr2_15_A,2563.0,42.0,327.0,32.0,53.0,16.0
DBD:DHDr2_17_B:AD:DHDr2_15_B,1520.0,10.0,216.0,13.0,5.0,8.0
DBD:DHDr2_17_B:AD:DHDr2_16_A,814.0,32.0,223.0,25.0,48.0,8.0
DBD:DHDr2_17_B:AD:DHDr2_16_B,865.0,25.0,115.0,2.0,30.0,4.0
DBD:DHDr2_17_B:AD:DHDr2_17_A,57.0,82.0,29.0,35.0,3.0,59.0
DBD:DHDr2_17_B:AD:DHDr2_17_B,3110.0,470.0,212.0,33.0,14.0,8.0
DBD:DHDr2_17_B:AD:DHDr2_18_A,911.0,45.0,291.0,37.0,29.0,10.0
DBD:DHDr2_17_B:AD:DHDr2_18_B,755.0,7.0,129.0,4.0,50.0,3.0
DBD:DHDr2_17_B:AD:DHDr2_19_A,382.0,126.0,191.0,35.0,10.0,12.0
DBD:DHDr2_17_B:AD:DHDr2_19_B,2838.0,483.0,546.0,180.0,38.0,104.0
DBD:DHDr2_17_B:AD:DHDr2_20_A,321.0,1.0,179.0,8.0,11.0,1.0
DBD:DHDr2_17_B:AD:DHDr2_20_B,616.0,5.0,188.0,36.0,16.0,11.0
DBD:DHDr2_17_B:AD:ZCON_150_LL_A,3510.0,180.0,426.0,102.0,35.0,10.0
DBD:DHDr2_17_B:AD:ZCON_150_LL_B,3008.0,114.0,336.0,56.0,35.0,12.0
DBD:DHDr2_17_B:AD:ZCON_150_resurf_A,753.0,7.0,125.0,32.0,13.0,2.0
DBD:DHDr2_17_B:AD:ZCON_150_resurf_B,346.0,17.0,158.0,18.0,15.0,8.0
DBD:DHDr2_17_B:AD:ZCON_152_A,640.0,80.0,30.0,5.0,4.0,0.0
DBD:DHDr2_17_B:AD:ZCON_152_B,2613.0,222.0,42.0,8.0,11.0,10.0
DBD:DHDr2_17_B:AD:ZCON_152_T2_A,328.0,14.0,281.0,95.0,43.0,1.0
DBD:DHDr2_17_B:AD:ZCON_152_T2_B,134.0,117.0,217.0,187.0,13.0,25.0
DBD:DHDr2_17_B:AD:ZCON_152_T4_A,3.0,0.0,238.0,44.0,26.0,1.0
DBD:DHDr2_17_B:AD:ZCON_152_T4_B,5.0,0.0,102.0,2.0,59.0,19.0
DBD:DHDr2_17_B:AD:ZCON_154_LL_A,3513.0,313.0,175.0,56.0,74.0,58.0
DBD:DHDr2_17_B:AD:ZCON_154_LL_B,3736.0,539.0,392.0,56.0,27.0,62.0
DBD:DHDr2_17_B:AD:ZCON_154_resurf_A,651.0,26.0,217.0,40.0,8.0,3.0
DBD:DHDr2_17_B:AD:ZCON_154_resurf_B,2190.0,196.0,332.0,283.0,32.0,11.0
DBD:DHDr2_17_B:AD:ZCON_155_LL_A,4152.0,131.0,704.0,57.0,94.0,13.0
DBD:DHDr2_17_B:AD:ZCON_155_LL_B,1084.0,125.0,397.0,75.0,25.0,30.0
DBD:DHDr2_17_B:AD:ZCON_155_cutT2_A,615.0,5.0,373.0,77.0,29.0,1.0
DBD:DHDr2_17_B:AD:ZCON_155_cutT2_B,97.0,6.0,310.0,11.0,26.0,41.0
DBD:DHDr2_17_B:AD:ZCON_155_cutT4_A,2.0,0.0,246.0,4.0,43.0,2.0
DBD:DHDr2_17_B:AD:ZCON_155_cutT4_B,131.0,0.0,328.0,53.0,64.0,4.0
DBD:DHDr2_17_B:AD:ZCON_155_cutT5_A,1.0,1.0,230.0,32.0,62.0,4.0
DBD:DHDr2_17_B:AD:ZCON_155_cutT5_B,1100.0,14.0,518.0,93.0,136.0,21.0
DBD:DHDr2_17_B:AD:ZCON_155_resurf_A,3625.0,293.0,533.0,29.0,155.0,131.0
DBD:DHDr2_17_B:AD:ZCON_155_resurf_B,1050.0,82.0,250.0,13.0,16.0,27.0
DBD:DHDr2_17_B:AD:ZCON_15_re_loop_LL_A,973.0,8.0,143.0,38.0,17.0,36.0
DBD:DHDr2_17_B:AD:ZCON_15_re_loop_LL_B,557.0,19.0,326.0,17.0,87.0,59.0
DBD:DHDr2_17_B:AD:ZCON_15_re_loop_resurf_A,1935.0,17676.0,375.0,193.0,17.0,39.0
DBD:DHDr2_17_B:AD:ZCON_15_re_loop_resurf_B,2215.0,536.0,402.0,38.0,23.0,5.0
DBD:DHDr2_17_B:AD:ZCON_2_CC_A,1718.0,81.0,286.0,1785.0,11.0,4.0
DBD:DHDr2_17_B:AD:ZCON_2_CC_B,1.0,0.0,28.0,4.0,4.0,6.0
DBD:DHDr2_17_B:AD:ZCON_2_CC_resurf_A,1580.0,70.0,159.0,84.0,15.0,2.0
DBD:DHDr2_17_B:AD:ZCON_2_CC_resurf_B,559.0,26.0,296.0,107.0,48.0,23.0
DBD:DHDr2_17_B:AD:ZCON_2_CC_resurf_cutT2_A,2198.0,10.0,171.0,6.0,18.0,3.0
DBD:DHDr2_17_B:AD:ZCON_2_CC_resurf_cutT2_B,2559.0,14.0,862.0,20.0,145.0,8.0
DBD:DHDr2_17_B:AD:ZCON_2_CC_resurf_cutT4_A,699.0,13.0,317.0,29.0,26.0,2.0
DBD:DHDr2_17_B:AD:ZCON_2_CC_resurf_cutT4_B,1284.0,1860.0,224.0,20.0,36.0,1.0
DBD:DHDr2_17_B:AD:ZCON_2_CC_resurf_cutT6_A,3.0,0.0,690.0,43.0,29.0,2.0
DBD:DHDr2_17_B:AD:ZCON_2_CC_resurf_cutT6_B,2.0,0.0,285.0,33.0,22.0,0.0
DBD:DHDr2_17_B:AD:ZCON_37_LL_A,3254.0,136.0,404.0,80.0,163.0,22.0
DBD:DHDr2_17_B:AD:ZCON_37_LL_B,4065.0,298.0,522.0,105.0,21.0,24.0
DBD:DHDr2_17_B:AD:ZCON_37_resurf_A,907.0,6.0,134.0,22.0,23.0,10.0
