"","trp1_l61_2mM","his1_l61_2mM","trp1_l62_2mM","his1_l62_2mM","trp1_l67","his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P4:AD:Jerala_P3",1484,79476,1087,70559,85,2203,42452.5487644623,9.09835076647473,0.379300588113503,1.39223660100114e-127,2.50602588180205e-126
"DBD:Jerala_P5:AD:Jerala_P3",3212,230,2417,147,143,12,288.126798590141,-0.109668437088052,0.224400384504809,0.44099730538117,NA
"DBD:Jerala_P6:AD:Jerala_P3",2999,230,1166,75,192,10,248.397467895786,-0.129082538615007,0.255608164762948,0.329497413620107,NA
"DBD:Jerala_P7:AD:Jerala_P3",1745,135,1483,92,162,5,185.433714825412,-0.2284925443186,0.256102139183541,0.105552649705203,NA
"DBD:Jerala_P8:AD:Jerala_P3",2486,189,1757,89,235,159,995.28983430849,0.468271564122995,0.961666359221639,0.0484013969649639,0.0932682163583748
"DBD:Jerala_P9:AD:Jerala_P3",4845,308,3530,163,299,19,443.203558695029,-0.14715649341408,0.258336266085787,0.268450210979826,NA
"DBD:Jerala_P10:AD:Jerala_P3",6396,1021,4536,309,505,59,917.757244367265,0.0665838125620788,0.311152420848372,0.526900071612112,0.632280085934534
"DBD:Jerala_P11:AD:Jerala_P3",2653,291,3184,572,116,3,356.64114297972,0.141130533950721,0.270174103359239,0.271866342074879,NA
"DBD:Jerala_P12:AD:Jerala_P3",3173,284,1265,75,137,156,963.286896669465,0.758717355247605,1.23816598764346,0.0225724027899866,0.0520373029453343
"DBD:Jerala_P5:AD:Jerala_P4",2329,191,1255,77,100,7,186.397583746863,-0.0806846836872826,0.241034050078668,0.553679339723507,NA
"DBD:Jerala_P6:AD:Jerala_P4",1449,119,1061,66,184,19,238.932270694367,0.00949637459063933,0.264204245258435,0.937092565441835,NA
"DBD:Jerala_P7:AD:Jerala_P4",1048,80,1347,88,193,11,199.759800004649,-0.115735829215237,0.26903494839453,0.357071806242177,NA
"DBD:Jerala_P8:AD:Jerala_P4",2153,171,2412,169,130,2,210.908078221475,-0.149763179619871,0.244142371788832,0.277513473062006,NA
"DBD:Jerala_P9:AD:Jerala_P4",1896,102,1269,67,125,7,169.314483059082,-0.241347297382375,0.265949984992484,0.0875374094992614,NA
"DBD:Jerala_P10:AD:Jerala_P4",1905,160,3674,219,135,5,258.334350312672,-0.128042306915551,0.246829464034063,0.345568268838366,NA
"DBD:Jerala_P11:AD:Jerala_P4",1747,262,2329,351,87,9,283.507229546253,0.294621018075162,0.26465443676177,0.0445442072669936,NA
"DBD:Jerala_P12:AD:Jerala_P4",1707,113,2022,117,203,12,245.939584071734,-0.159922807241199,0.256214701598688,0.235595759885257,NA
"DBD:Jerala_P6:AD:Jerala_P5",1663,3625,1499,332,158,1237,6920.76885447392,5.4879218646565,1.67972120688336,9.39867424385349e-05,0.000307592975253387
"DBD:Jerala_P7:AD:Jerala_P5",3027,221,2053,107,63,14,249.198010166645,0.0193148120218874,0.244948595054143,0.884616049844065,NA
"DBD:Jerala_P8:AD:Jerala_P5",3406,243,2825,171,140,5,272.362019163185,-0.183064424719575,0.229444386665691,0.200494381130705,NA
"DBD:Jerala_P9:AD:Jerala_P5",7351,450,3753,4194,113,11,1419.77667477052,0.370799951790289,0.862538557487197,NA,NA
"DBD:Jerala_P10:AD:Jerala_P5",5595,7314,3297,218,234,6,1608.72850218975,0.414830207949537,0.966154158581469,NA,NA
"DBD:Jerala_P11:AD:Jerala_P5",2224,258,3164,6665,136,19,1947.21350672349,1.53399392389455,1.87411181538006,NA,NA
"DBD:Jerala_P12:AD:Jerala_P5",3629,255,4485,274,152,8,355.507387692751,-0.12510745694992,0.238617976246631,0.366797620538378,NA
"DBD:Jerala_P7:AD:Jerala_P6",2176,157,1417,95,140,4,184.042966157339,-0.207903624327438,0.247280260811044,0.140101003079408,NA
"DBD:Jerala_P8:AD:Jerala_P6",2744,259,4016,254,208,14,374.710505353622,-0.064843966578012,0.236049619409485,0.638487954530393,NA
"DBD:Jerala_P9:AD:Jerala_P6",3432,196,2971,159,131,6,266.363035560671,-0.246299031954649,0.235428718043213,0.0891082788287686,NA
"DBD:Jerala_P10:AD:Jerala_P6",5601,2544,4966,333,256,33,973.892967644805,0.178964183570857,0.43221128339035,0.157072438655872,0.217484915061977
"DBD:Jerala_P11:AD:Jerala_P6",2725,259,3874,272,81,8,303.97177406133,0.0161858305143523,0.241225004807258,0.904617192780071,NA
"DBD:Jerala_P12:AD:Jerala_P6",3169,220,3638,242,278,13,383.468094688193,-0.157937311602818,0.244575514590746,0.253276893838499,NA
"DBD:Jerala_P8:AD:Jerala_P7",2071,29996,2410,18154,97,3182,25570.1721457122,7.68257972096079,0.685023219343968,1.66912711452069e-29,1.00147626871241e-28
"DBD:Jerala_P9:AD:Jerala_P7",2664,2462,4101,178,186,8,705.555804004135,0.212970114437592,0.484801642550551,NA,NA
