"","trp1_l61_2mM","his1_l61_2mM","trp1_l62_2mM","his1_l62_2mM","trp1_l67","his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P10:AD:Jerala_P9",1561,59826,1733,70229,128,4934,50587.8000283701,8.86544761936848,0.327534590583244,9.19433679321968e-162,4.22939492488105e-160
"DBD:Jerala_P10:AD:Jerala_P11",2959,2000,4496,310,213,5,678.976545990161,0.234531381928473,0.452142942278593,0.212623745405451,0.266422884267057
"DBD:Jerala_P10:AD:Jerala_P12",7001,604,3496,227,154,4,434.557017626975,-0.125986249573282,0.337006328982657,0.524229755819078,NA
"DBD:Jerala_P11:AD:Jerala_P1",1736,190,2447,188,114,53,435.530552449561,0.465337175692485,0.457838340827197,0.0369105213850948,NA
"DBD:Jerala_P11:AD:Jerala_P2",3909,383,1686,171,212,139,900.200296842821,0.497290851573392,0.783809975934032,0.0531521887705791,0.0984501068990191
"DBD:Jerala_P11:AD:Jerala_P3",2653,291,3184,572,129,42,540.980657298571,0.452632710564035,0.44314030711242,0.0401631675314519,0.0879764622117518
"DBD:Jerala_P11:AD:Jerala_P4",1747,262,2329,351,158,361,1855.22321894806,1.97190091636058,1.89591919597284,NA,NA
"DBD:Jerala_P11:AD:Jerala_P5",2224,258,3164,6665,269,211,2885.62865337129,2.30058510736709,1.91459427265611,0.00409219140213717,0.012549386966554
"DBD:Jerala_P11:AD:Jerala_P6",2725,259,3874,272,239,110,809.52859675288,0.32274888015428,0.553031591280878,0.116649656197342,0.167683880783679
"DBD:Jerala_P11:AD:Jerala_P7",1566,478,3782,382,115,71,640.880304677281,0.617321990532434,0.668625887562928,0.0194043869833232,0.0512758147822467
"DBD:Jerala_P11:AD:Jerala_P8",2400,273,2516,199,159,71,560.995674609855,0.41818599768909,0.511811166926685,0.0569914845238794,0.0984501068990191
"DBD:Jerala_P11:AD:Jerala_P9",2218,278,835,78,61,5,169.755298144542,0.126403611914966,0.316699634754167,0.532791107422611,NA
"DBD:Jerala_P11:AD:Jerala_P10",1520,2162,2542,389,152,61,887.409187791364,1.4584364022694,1.19810127546682,0.00291903080675422,0.00959110122219245
"DBD:Jerala_P11:AD:Jerala_P11",75,231,198,77,19,6,99.5318302264733,2.92240599997139,0.682520253826438,2.34422079892288e-06,NA
"DBD:Jerala_P11:AD:Jerala_P12",1073,8068,1351,5200,35,705,5940.72186788523,6.46492316452306,1.02940219775549,1.98179323519601e-10,9.11624888190165e-10
"DBD:Jerala_P12:AD:Jerala_P1",3432,264,834,50,192,9,244.151147002297,-0.212613077970523,0.33455375990586,0.292225365324025,NA
"DBD:Jerala_P12:AD:Jerala_P2",4263,289,3205,200,152,3,310.845085319007,-0.297561808696716,0.289175890219902,0.148423777171795,NA
"DBD:Jerala_P12:AD:Jerala_P3",3173,284,1265,75,137,156,884.836998068044,0.789651782848515,1.11387104082928,0.0253854065564935,0.0614594053473
"DBD:Jerala_P12:AD:Jerala_P4",1707,113,2022,117,203,12,244.632853082757,-0.293376617116891,0.305483973631121,0.1561100563771,NA
"DBD:Jerala_P12:AD:Jerala_P5",3629,255,4485,274,152,8,360.631322491301,-0.204933287512435,0.289014951061737,0.317265944113112,NA
"DBD:Jerala_P12:AD:Jerala_P6",3169,220,3638,242,278,13,385.478460674658,-0.268298913322902,0.29151304008002,0.192252369918016,NA
"DBD:Jerala_P12:AD:Jerala_P7",3227,461,5175,265,206,8,420.687706338994,-0.117592424568235,0.306989383425964,0.564013842506589,NA
"DBD:Jerala_P12:AD:Jerala_P8",3097,217,2890,194,197,6,297.520054522218,-0.326295846099865,0.267784391827464,0.107037104519642,NA
"DBD:Jerala_P12:AD:Jerala_P9",2249,144,1442,241,60,2,187.183345084198,0.097152983045757,0.317936101970938,0.6305752942938,NA
"DBD:Jerala_P12:AD:Jerala_P10",3112,496,3535,5395,201,8,1710.55255990094,0.898207975736694,1.34599059933365,0.0282834414009875,0.0650519152222711
"DBD:Jerala_P12:AD:Jerala_P11",1503,35130,822,15002,121,2719,22188.8436671373,7.94517667023917,0.645303090237555,3.56781355710359e-35,2.34456319466807e-34
"DBD:Jerala_P12:AD:Jerala_P12",3174,353,1433,86,104,1,211.860606438148,-0.0999770518468424,0.325340374456798,0.617896293853486,NA
