"","count_DBDAD_trp1_l45","count_ADDBD_trp1_l45","count_DBDAD_his1_l45","count_ADDBD_his1_l45","count_DBDAD_trp1_l66","count_ADDBD_trp1_l66","count_DBDAD_his1_l66","count_ADDBD_his1_l66","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"BECM01:Mcl1[151-321]",18335,7968,11216,5212,3241,1672,730,926,4015.84549486091,0.454012136698266,0.458353719659105,0.238138191573692,0.403132543175781
"BECM01:XCDP07",3637,6572,529,3630,514,549,90,243,1079.30340341288,-0.10575700334422,0.479033742303538,0.790563801212123,0.871041771682921
"BECM01:alphaBCL2",16195,5870,1694,603,1856,1210,317,262,1715.73123893449,-0.999907747448711,0.431961837694552,0.00686400871808862,0.0200897816139179
"BECM01:alphaBCLB",13706,10330,4909,3393,1104,446,120,104,1883.28115596464,-0.0928566969396481,0.571061763369176,0.836701023000734,0.912764752364437
"BECM01:alphaBFL1",30279,10172,5332,1822,1478,1092,151,347,2579.62140494742,-0.553219090240107,0.568023172238144,0.218096255360564,0.381207989179779
"BECM01:alphaMCL1",19925,9565,3844,1704,1435,1201,178,130,2024.02639729429,-0.782598562914809,0.538619675557227,0.0714629976946916,0.160496028481588
"Bcl-2:Bcl-B",16111,11240,10054,3774,1228,2441,284,609,3202.06043694593,0.129003468826848,0.514638636425649,0.758186696455109,0.86326305051411
"Bcl-2:Bcl-w",1287,2599,166,151,4270,4879,464,1101,2549.62015602849,-0.589646697118682,0.846909801985519,0.316926018709424,0.496672894486964
"Bcl-2:Bcl-xL",1552,876,469,336,2291,2838,2043,614,2517.7903600354,0.231802738948253,0.765096130627727,0.672394263441882,0.815721260896735
"Bcl-2:Bfl-1",3878,5096,2271,1584,2724,1926,904,511,2199.80829677324,0.0240146546631889,0.49363702281174,0.952939807475032,0.976998539964145
"Bcl-2:FECM04",4309,2777,14314,3407,1524,1498,2322,7755,7578.41188575949,2.73101323589591,0.820409062333753,0.000130534519117039,0.000699258782006917
"Bcl-2:Mcl1[151-321]",7011,4098,2866,1687,3247,2227,399,502,2170.89691392113,-0.346861159760614,0.470649511498443,0.377054688249539,0.558599538147466
"Bcl-2:XCDP07",961,3256,1184,6120,442,705,515,4653,3691.82705316331,2.55556258943674,0.681609141752008,3.10092220583421e-05,0.000265793331928647
"Bcl-2:alphaBCL2",4244,2649,12761,3522,1396,1409,1816,8719,7608.98354983282,2.74927979318679,0.833721587247305,0.000143601687205038,0.000718008436025192
"Bcl-2:alphaBCLB",5070,6562,1590,1534,1213,1201,112,169,1213.00940021159,-0.646355924691138,0.419259297880267,0.0722232128167144,0.160496028481588
"Bcl-2:alphaBFL1",8501,4698,18124,4483,1315,1834,2448,5279,7050.89748868465,2.34916084968931,0.74120938925415,0.000235883459604491,0.00108869289048227
"Bcl-2:alphaMCL1",7505,3453,1300,586,1300,1969,116,218,1250.9844845811,-1.15789512578643,0.512918764505902,0.00654492899970965,0.0196347869991289
"Bcl-B:Bcl-w",9875,9904,1347,1535,5110,3061,1052,362,3047.8846526529,-0.724079143954238,0.584200542162435,0.115135718367361,0.226496495148906
"Bcl-B:Bcl-xL",8609,9712,4116,3060,2860,1967,528,424,2563.98055168979,-0.180605108498093,0.399255812410486,0.60348897404624,0.768369942198298
"Bcl-B:Bfl-1",25072,20127,9680,13658,2561,1306,494,344,4698.02996268006,0.236720876551965,0.60813239788138,0.614695953758639,0.768369942198298
"Bcl-B:FECM04",32384,22935,9261,6240,1886,1490,823,204,4273.71932386897,-0.140451405244598,0.571130590479715,0.755225786802614,0.86326305051411
"Bcl-B:Mcl1[151-321]",44382,19552,16030,14078,4341,1536,516,173,6117.22992519854,0.133708057960886,0.675925338916896,0.791196275945319,0.871041771682921
"Bcl-B:XCDP07",8069,24752,6947,212432,599,532,3566,922,25472.2359103237,3.09100501382931,0.971262222913843,0.00017514762489183,0.000840708599480786
"Bcl-B:alphaBCL2",32142,16502,5833,2192,2446,1452,420,145,3187.68481491424,-0.864025497391026,0.573055069843555,0.0577437371308348,0.135867616778435
"Bcl-B:alphaBCLB",24285,30109,95229,164246,739,610,7088,1507,31381.5280656628,3.25041554858982,0.942796235837951,7.02473632983663e-05,0.000521248167658455
"Bcl-B:alphaBFL1",47620,34596,14656,12615,1756,1516,527,198,6013.17288279145,-0.033607961963747,0.688907889895133,0.947608218369835,0.976998539964145
"Bcl-B:alphaMCL1",40916,27384,18777,12004,1427,1431,832,139,5960.72666519571,0.197485620911825,0.702237793551709,0.703057177172523,0.83531545802676
"Bcl-w:Bcl-xL",732,527,78,45,5620,6082,969,1420,3338.50778914451,-0.257711185632712,1.10845190495724,0.70229521940292,0.83531545802676
"Bcl-w:Bfl-1",3121,2496,354,3366,5609,4190,753,599,2942.70013700225,-0.444321610057609,0.711195056925741,0.395892743159471,0.579355233891909
"Bcl-w:FECM04",4289,3650,1050,664,3529,3748,1497,478,2753.81471367254,-0.273362747830032,0.657793614973829,0.581526956299648,0.756062340197163
"Bcl-w:Mcl1[151-321]",4316,2013,548,644,7382,4801,1062,800,3387.29976089363,-0.586964555190402,0.779206515200767,0.292755659435212,0.4812421798935
"Bcl-w:XCDP07",784,2188,1181,2028,966,763,7469,9197,9631.21237328141,3.69617956310322,0.990052890868735,1.93870032276759e-05,0.000178956952870854
"Bcl-w:alphaBCL2",4573,2669,986,459,3995,3598,7176,8807,10227.5925085205,1.62947169922184,1.11860221739254,0.0325824879277059,0.0797938479862186
"Bcl-w:alphaBCLB",3656,4554,269,417,2697,2684,692,286,1783.08418108999,-0.703136355275132,0.692003045758151,0.173725859159977,0.315865198472685
"Bcl-w:alphaBFL1",4898,3986,1569,617,3265,3881,843,761,2572.36633985186,-0.315193205032163,0.618320433550474,0.507556653833252,0.700078143218279
"Bcl-w:alphaMCL1",6207,3012,269,177,3024,4063,500,945,2314.80503951002,-0.551445854662926,0.755829817274329,0.312684270051888,0.496672894486964
