"","trp1_l61_2mM","his1_l61_2mM","trp1_l62_2mM","his1_l62_2mM","trp1_l67","his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P4:AD:Jerala_P10",4647,966,4222,2446,244,30,1219.58996962511,0.457580776833655,0.785684758782304,0.384524290711885,0.458948346978702
"DBD:Jerala_P5:AD:Jerala_P6",1203,21659,2184,9798,220,5264,9129.26776038765,5.23589891054582,0.531337195377975,4.09423001098274e-23,2.52477517343936e-22
"DBD:Jerala_P5:AD:Jerala_P11",2945,871,1664,89,204,36,397.567831390733,-0.576543489440078,0.511863303120499,0.169860381729213,0.251393364959235
"DBD:Jerala_P6:AD:Jerala_P2",2679,1363,2270,149,178,21,455.752708645194,-0.209380506692856,0.564014306914049,0.637122506739689,0.693339198510838
"DBD:Jerala_P6:AD:Jerala_P5",1663,3625,1499,332,158,1237,1578.41668537886,2.30818877140024,1.14642653437203,0.00320126978652273,0.00740293638133382
"DBD:Jerala_P6:AD:Jerala_P9",1546,2437,1299,95,163,357,726.339703033135,1.05828493142401,0.763252925118831,0.0488340199937937,0.0903429369885183
"DBD:Jerala_P6:AD:Jerala_P10",2524,159,741,44,164,374,493.730148858797,0.371990811843134,0.701617862396148,NA,NA
"DBD:Jerala_P7:AD:Jerala_P8",2019,3266,1392,746,92,2263,2388.84453460703,3.57868711487418,1.01387526042706,3.91317055062005e-05,0.000120656091977452
"DBD:Jerala_P8:AD:Jerala_P3",2486,189,1757,89,235,159,422.457640891765,-0.45140375798284,0.561231324554958,0.309038750059646,0.390086393495522
"DBD:Jerala_P8:AD:Jerala_P7",2071,29996,2410,18154,97,3182,10744.5451971679,5.66752301312235,0.499310860222445,4.29729585762474e-30,7.94999733660577e-29
"DBD:Jerala_P8:AD:Jerala_P12",3965,370,3632,164,292,23,503.667409793003,-1.63539436889677,0.625454643118615,0.00082142174222745,0.00233789265095505
"DBD:Jerala_P9:AD:Jerala_P1",2816,1140,1977,126,170,21,415.112016777513,-0.330134584503762,0.54112645305624,0.446831162011965,0.516648531076335
"DBD:Jerala_P9:AD:Jerala_P2",2271,866,2000,106,193,26,380.744063030112,-0.544049416356444,0.502469001606921,0.189919191317593,0.270269618413498
"DBD:Jerala_P9:AD:Jerala_P10",1339,69496,2408,42353,112,2876,21360.5623381562,6.7284870047903,0.67516057538861,1.00488800328477e-23,9.29521403038409e-23
"DBD:Jerala_P10:AD:Jerala_P3",6396,1021,4536,309,505,59,854.929060755508,-0.96074649287498,0.626276396992187,0.0441295283545143,0.0859364499535279
"DBD:Jerala_P10:AD:Jerala_P6",5601,2544,4966,333,256,33,866.560007629518,-0.178148984544805,0.632090488964361,0.704940348464936,0.721501620856996
"DBD:Jerala_P10:AD:Jerala_P9",1561,59826,1733,70229,128,4934,29559.1876052688,7.25222148423505,0.735255163370958,2.46638056778538e-23,1.82512162016118e-22
"DBD:Jerala_P11:AD:Jerala_P1",1736,190,2447,188,114,53,311.630384880044,-0.705594187314259,0.394940041116288,0.0434927569087294,0.0859364499535279
"DBD:Jerala_P11:AD:Jerala_P2",3909,383,1686,171,212,139,478.924475799683,-0.419485393175259,0.509447460208207,0.316286264996369,0.390086393495522
"DBD:Jerala_P11:AD:Jerala_P3",2653,291,3184,572,129,42,482.397903136722,-0.158071036688078,0.563457813415903,0.721501620856996,0.721501620856996
"DBD:Jerala_P11:AD:Jerala_P4",1747,262,2329,351,158,361,611.49990265508,0.50518985981845,0.630824680362026,0.286048348879274,0.37799246101904
"DBD:Jerala_P11:AD:Jerala_P5",2224,258,3164,6665,269,211,2346.51728821868,1.76338720358909,1.24865918919396,0.0217428490803133,0.0473226715277408
"DBD:Jerala_P11:AD:Jerala_P6",2725,259,3874,272,239,110,530.708592276852,-0.634280744070211,0.546947709711382,0.147431511956862,0.227290247600163
"DBD:Jerala_P11:AD:Jerala_P7",1566,478,3782,382,115,71,453.250138476011,-0.156167911376615,0.506970632164142,0.708049292378642,0.721501620856996
"DBD:Jerala_P11:AD:Jerala_P8",2400,273,2516,199,159,71,382.41293235789,-0.682572431781596,0.423655284998059,0.0640018635766626,0.112765188206501
"DBD:Jerala_P11:AD:Jerala_P10",1520,2162,2542,389,152,61,597.93272688896,0.522172743873425,0.590092575694503,0.253175745697993,0.346944540400953
"DBD:Jerala_P11:AD:Jerala_P12",1073,8068,1351,5200,35,705,2911.40513589956,4.71069261660845,0.788514348224836,1.17340941757119e-09,4.3416148450134e-09
