,trp1_l61_2mM,his1_l61_2mM,trp1_l62_2mM,his1_l62_2mM
DBD:Jerala_P11:AD:Jerala_P7,1566,478.0,3782,382
DBD:Jerala_P11:AD:Jerala_P8,2400,273.0,2516,199
DBD:Jerala_P11:AD:Jerala_P9,2218,278.0,835,78
DBD:Jerala_P11:AD:Jerala_P10,1520,2162.0,2542,389
DBD:Jerala_P11:AD:Jerala_P11,75,231.0,198,77
DBD:Jerala_P11:AD:Jerala_P12,1073,8068.0,1351,5200
DBD:Jerala_P12:AD:Jerala_P1,3432,264.0,834,50
DBD:Jerala_P12:AD:Jerala_P2,4263,289.0,3205,200
DBD:Jerala_P12:AD:Jerala_P3,3173,284.0,1265,75
DBD:Jerala_P12:AD:Jerala_P4,1707,113.0,2022,117
DBD:Jerala_P12:AD:Jerala_P5,3629,255.0,4485,274
DBD:Jerala_P12:AD:Jerala_P6,3169,220.0,3638,242
DBD:Jerala_P12:AD:Jerala_P7,3227,461.0,5175,265
DBD:Jerala_P12:AD:Jerala_P8,3097,217.0,2890,194
DBD:Jerala_P12:AD:Jerala_P9,2249,144.0,1442,241
DBD:Jerala_P12:AD:Jerala_P10,3112,496.0,3535,5395
DBD:Jerala_P12:AD:Jerala_P11,1503,35130.0,822,15002
DBD:Jerala_P12:AD:Jerala_P12,3174,353.0,1433,86
