"","trp1_l43","his1_l43","trp1_l44","his1_l44","trp1_l49","his1_l49","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:A_ZCON_13:AD:ZCON_155_resurf_A",4698,367,772,68,35,5,187.089916341856,-0.0287609522985493,0.307312762551482,0.754348756831795,0.912259616699973
"DBD:A_ZCON_13:AD:ZCON_155_resurf_B",11,1,247,17,14,8,37.8763666244836,0.0119331594343118,0.472223900984661,0.929222491596824,NA
"DBD:A_ZCON_13:AD:ZCON_15_re_loop_LL_A",1541,45,237,25,4,3,49.1575827932573,-0.0641362725784559,0.358406033223857,0.530904017281034,NA
"DBD:A_ZCON_13:AD:ZCON_15_re_loop_LL_B",4690,602,330,42,12,8,191.933925428608,0.0617439480348605,0.397035613122156,0.579027432262819,0.826419791917653
"DBD:A_ZCON_13:AD:ZCON_15_re_loop_resurf_A",90,4,273,129,7,10,69.6453610590852,0.218259736770018,0.69246463306807,0.223870972069181,NA
"DBD:A_ZCON_13:AD:ZCON_15_re_loop_resurf_B",608,7,202,27,8,0,27.4952488665056,-0.121245947674938,0.4969217727588,0.361278552446911,NA
"DBD:A_ZCON_13:AD:ZCON_2_CC_A",1597,40,169,8,4,0,35.7696999426012,-0.207850242250378,0.651295688151875,0.219412036165668,NA
"DBD:A_ZCON_13:AD:ZCON_2_CC_resurf_A",1180,121,156,13,9,0,46.2549386848596,-0.00927614188570422,0.373033754728802,0.931298842158045,NA
"DBD:A_ZCON_13:AD:ZCON_2_CC_resurf_B",408,27,204,23,18,0,31.9609558199666,-0.101715093380049,0.41717489521762,0.375619736804837,NA
"DBD:A_ZCON_13:AD:ZCON_2_CC_resurf_cutT2_A",1270,363,147,9,4,1,82.1476664170709,0.149911101431922,0.585892383355405,0.330544496627015,NA
"DBD:A_ZCON_13:AD:ZCON_2_CC_resurf_cutT2_B",2119,161,600,112,33,1,120.933195060309,-0.020005245735062,0.308139662047063,0.827993227066617,0.937871910470682
"DBD:A_ZCON_13:AD:ZCON_2_CC_resurf_cutT4_A",472,67,138,10,7,1,29.4132379970453,0.00720888399683426,0.316419033871732,0.938802130233293,NA
"DBD:A_ZCON_13:AD:ZCON_2_CC_resurf_cutT4_B",856,40,254,147,10,0,69.1489275182532,0.0731933141974571,0.440942286373404,0.547381735705013,NA
"DBD:A_ZCON_13:AD:ZCON_2_CC_resurf_cutT6_B",712,0,211,2,4,0,19.7806936653803,-2.96429162598219,2.08717650477962,0.00312980148886727,NA
"DBD:A_ZCON_13:AD:ZCON_37_LL_A",1432,182,234,20,14,2,69.9057211606114,0.0162248523322514,0.32013880317974,0.86390414715388,NA
