"","trp1_l61_2mM","his1_l61_2mM","trp1_l67","his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P6:AD:Jerala_P1",2453,166,126,1,108.790316237558,-0.188101504682825,0.337901802916275,0.137794936537932,NA
"DBD:Jerala_P7:AD:Jerala_P1",1688,122,47,1,65.4245221937283,-0.063156212151509,0.311859388949923,0.542602951030241,NA
"DBD:Jerala_P8:AD:Jerala_P1",3013,238,143,4,149.261473492379,-0.130179623713691,0.263835323283194,0.30804857713239,NA
"DBD:Jerala_P9:AD:Jerala_P1",2816,1140,170,21,379.99555791143,0.530787579463004,0.626857714349985,0.0107855059642427,0.030653543266795
"DBD:Jerala_P10:AD:Jerala_P1",4259,326,192,15,253.335648505104,-0.0234948033309082,0.252842813752836,0.852054549033229,0.897142829207953
"DBD:Jerala_P11:AD:Jerala_P1",1736,190,126,9,141.347979231685,0.0128993214523378,0.255919696097708,0.916972873500669,NA
"DBD:Jerala_P12:AD:Jerala_P1",3432,264,192,9,200.260906056929,-0.130055317913994,0.247256159621377,0.331508458098819,NA
"DBD:Jerala_P3:AD:Jerala_P2",3416,241,150,15,213.743861945273,-8.57616476069489e-05,0.252354944035875,0.999457266368344,NA
"DBD:Jerala_P4:AD:Jerala_P2",2577,713,145,4,216.593065200175,0.157571612769577,0.29595753854446,0.2044107482435,NA
"DBD:Jerala_P5:AD:Jerala_P2",4294,280,321,12,271.329772294986,-0.179454641303473,0.285132929779078,0.165814267529944,0.255827727046199
"DBD:Jerala_P6:AD:Jerala_P2",2679,1363,178,21,414.860938765121,0.618533348679707,0.739427619061158,0.00917426513850346,0.0292367190748286
"DBD:Jerala_P7:AD:Jerala_P2",2073,117,158,8,140.219792464454,-0.155699922162001,0.288405056551704,0.213098554542379,NA
"DBD:Jerala_P8:AD:Jerala_P2",3599,276,228,7,205.792739906585,-0.191503833443633,0.260977100517701,0.157373545933322,NA
"DBD:Jerala_P9:AD:Jerala_P2",2271,866,193,26,361.035125009652,0.467560882855685,0.560791290716808,0.0139516010281733,0.0376693227760678
"DBD:Jerala_P10:AD:Jerala_P2",5282,415,166,9,245.280778299797,-0.0580130978397498,0.257534067137347,0.640616084199117,0.736026990356433
"DBD:Jerala_P11:AD:Jerala_P2",3909,383,108,7,190.435520063414,0.0190990405832815,0.254085518544248,0.878633857060955,NA
"DBD:Jerala_P12:AD:Jerala_P2",4263,289,152,3,174.899154799712,-0.16663530051826,0.280251591426319,0.19410786181757,NA
"DBD:Jerala_P4:AD:Jerala_P3",1484,79476,85,2203,23478.1885865986,8.78982233865202,0.635493826879154,6.30723930830126e-44,3.40590922648268e-42
"DBD:Jerala_P5:AD:Jerala_P3",3212,230,143,12,191.506977662141,-0.0390505451244319,0.247804522729178,0.762955306171111,NA
"DBD:Jerala_P6:AD:Jerala_P3",2999,230,192,10,193.097911170295,-0.119332237115917,0.250138793283376,0.366228782117176,NA
"DBD:Jerala_P7:AD:Jerala_P3",1745,135,162,5,123.882357637426,-0.174309825853389,0.296907281135069,0.16996399352557,NA
"DBD:Jerala_P8:AD:Jerala_P3",2486,189,235,159,942.410703611598,0.632499604564435,1.24184511058653,0.0414384360363693,0.0828768720727386
"DBD:Jerala_P9:AD:Jerala_P3",4845,308,299,19,312.984996561729,-0.0658074480334546,0.268600913966627,0.578467658108959,0.69416118973075
"DBD:Jerala_P10:AD:Jerala_P3",6396,1021,505,59,713.297140340754,0.0949613239835042,0.340346577003193,0.37652751208044,0.48410680124628
"DBD:Jerala_P11:AD:Jerala_P3",2653,291,116,3,138.381293943429,-0.0319562398493057,0.262769008221626,0.789257172229067,NA
"DBD:Jerala_P12:AD:Jerala_P3",3173,284,137,156,922.876386101304,1.01965207086205,1.53219804453447,0.018520629329149,0.0434832166858281
"DBD:Jerala_P5:AD:Jerala_P4",2329,191,100,7,132.914433075198,-0.030767491458819,0.254587805363408,0.805570973045934,NA
"DBD:Jerala_P6:AD:Jerala_P4",1449,119,184,19,193.964228232578,0.0528267109699976,0.28143687748783,0.63284979283247,NA
"DBD:Jerala_P7:AD:Jerala_P4",1048,80,193,11,143.964742559013,-0.056112785286788,0.292212536059897,0.599802737308597,NA
"DBD:Jerala_P8:AD:Jerala_P4",2153,171,130,2,111.035683692943,-0.153986664244738,0.297088951401812,0.211877026332415,NA
"DBD:Jerala_P9:AD:Jerala_P4",1896,102,125,7,119.871695472246,-0.139376157525458,0.28771306111228,0.254765621879812,NA
"DBD:Jerala_P10:AD:Jerala_P4",1905,160,135,5,122.014117040574,-0.118995115515909,0.268370714890078,0.340058736946512,NA
"DBD:Jerala_P11:AD:Jerala_P4",1747,262,87,9,140.696261423196,0.166491991872584,0.264826381816849,0.206191292785075,NA
"DBD:Jerala_P12:AD:Jerala_P4",1707,113,203,12,167.739841185767,-0.0789512653010537,0.279307485218202,0.492401754029636,NA
"DBD:Jerala_P6:AD:Jerala_P5",1663,3625,158,1237,6869.49865385196,6.31210209788741,1.08326293719974,3.36391698497831e-09,1.51376264324024e-08
"DBD:Jerala_P7:AD:Jerala_P5",3027,221,63,14,172.616867825887,0.0978070113760071,0.271611379578565,0.417895523660175,NA
"DBD:Jerala_P8:AD:Jerala_P5",3406,243,140,5,160.438592294294,-0.137607287750406,0.259512600376511,0.289967203261656,NA
"DBD:Jerala_P9:AD:Jerala_P5",7351,450,113,11,277.577566732078,-0.0442493782672656,0.275978346738255,0.693605015595156,0.779161247282019
"DBD:Jerala_P10:AD:Jerala_P5",5595,7314,234,6,1326.3896587518,0.502255180289983,1.15151589857889,0.0661018265607937,0.118983287809429
"DBD:Jerala_P11:AD:Jerala_P5",2224,258,136,19,213.158955411942,0.160146652155223,0.273262929367917,0.213887208073255,NA
"DBD:Jerala_P12:AD:Jerala_P5",3629,255,152,8,184.672691882118,-0.118926579277771,0.247879351776694,0.371137386797408,NA
"DBD:Jerala_P7:AD:Jerala_P6",2176,157,140,4,122.383822979989,-0.174255776947058,0.284012852926436,0.176251672007883,NA
"DBD:Jerala_P8:AD:Jerala_P6",2744,259,208,14,218.591761508397,-0.0209720379758657,0.252769834169752,0.867787870227688,NA
"DBD:Jerala_P9:AD:Jerala_P6",3432,196,131,6,155.8322489945,-0.174937727233311,0.26805516321814,0.185068001598581,NA
"DBD:Jerala_P10:AD:Jerala_P6",5601,2544,256,33,729.269321419907,0.311012420784747,0.6253132620484,0.0634574683268167,0.118162182401659
"DBD:Jerala_P11:AD:Jerala_P6",2725,259,81,8,148.991137545561,0.0515110646762022,0.256541350974522,0.679143776644187,NA
"DBD:Jerala_P12:AD:Jerala_P6",3169,220,278,13,235.835884615115,-0.132586867331647,0.272594631509033,0.289364183644422,0.39064164791997
"DBD:Jerala_P8:AD:Jerala_P7",2071,29996,97,3182,20747.1728928692,8.23298262106407,0.781707955149219,2.63084384508789e-26,2.0295081090678e-25
"DBD:Jerala_P9:AD:Jerala_P7",2664,2462,186,8,522.085646097306,0.489753196337405,0.861423250880891,0.0320940092039032,0.0666567883465682
"DBD:Jerala_P10:AD:Jerala_P7",5186,418,294,13,303.739061829353,-0.0952293692386783,0.262705859835379,0.443946899844026,0.557514711432033
"DBD:Jerala_P11:AD:Jerala_P7",1566,478,61,3,133.084836494826,0.274190758826479,0.401186479399567,0.0570441706405192,NA
"DBD:Jerala_P12:AD:Jerala_P7",3227,461,206,8,226.812835146798,0.0187406417245866,0.250849033531297,0.882872163037494,NA
"DBD:Jerala_P9:AD:Jerala_P8",4258,906,176,17,348.453449828382,0.202025366478637,0.317710279684371,0.120946949858998,0.192092214481938
"DBD:Jerala_P10:AD:Jerala_P8",3338,280,187,6,184.5875601664,-0.140650706394022,0.251480584725111,0.290792233954085,NA
"DBD:Jerala_P11:AD:Jerala_P8",2400,273,126,7,154.769864356698,0.0166539167439582,0.24761662048731,0.897451829358814,NA
"DBD:Jerala_P12:AD:Jerala_P8",3097,217,197,6,174.035161075476,-0.220578770091744,0.270946643050451,0.108062474178739,NA
"DBD:Jerala_P10:AD:Jerala_P9",1561,59826,128,4934,34202.767223927,8.93606218024714,0.737264830115084,3.0350251369687e-34,5.46304524654366e-33
"DBD:Jerala_P11:AD:Jerala_P9",2218,278,102,4,130.137371298145,0.0201520951057777,0.259442512264949,0.868197919571915,NA
"DBD:Jerala_P12:AD:Jerala_P9",2249,144,60,2,86.8483962775047,-0.0873134678164314,0.293749198167479,0.434342585838034,NA
"DBD:Jerala_P11:AD:Jerala_P10",1520,2162,142,3,418.51952003237,0.723717989318363,1.09820618320267,0.0181191859644186,0.0434832166858281
"DBD:Jerala_P12:AD:Jerala_P10",3112,496,201,8,228.864979976095,0.0475692968444587,0.253012454615623,0.707016687348498,0.779161247282019
"DBD:Jerala_P12:AD:Jerala_P11",1503,35130,121,2719,19209.3883224118,8.17841189165768,0.75062065060597,5.24588205489541e-28,5.66555261928704e-27
