"","count_DBDAD_trp1_l61_2mM","count_ADDBD_trp1_l61_2mM","count_DBDAD_his1_l61_2mM","count_ADDBD_his1_l61_2mM","count_DBDAD_trp1_l62_2mM","count_ADDBD_trp1_l62_2mM","count_DBDAD_his1_l62_2mM","count_ADDBD_his1_l62_2mM","count_DBDAD_trp1_l67","count_ADDBD_trp1_l67","count_DBDAD_his1_l67","count_ADDBD_his1_l67","count_DBDAD_trp1_new_1_smaller","count_ADDBD_trp1_new_1_smaller","count_DBDAD_his1_new_1_smaller","count_ADDBD_his1_new_1_smaller","count_DBDAD_trp1_new_2_smaller","count_ADDBD_trp1_new_2_smaller","count_DBDAD_his1_new_2_smaller","count_ADDBD_his1_new_2_smaller","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"Jerala_P12:Jerala_P8",3965,3097,370,217,3632,2890,164,194,292,197,23,6,3131,2906,755,149,1440,1873,122,323,564.282045204989,-0.245896319798536,0.286342428907937,0.289912208471966,0.458465818048691
"Jerala_P10:Jerala_P9",1339,1561,69496,59826,2408,1733,42353,70229,112,128,2876,4934,844,1922,21746,94437,649,976,9158,81353,59064.5148943257,8.52854781515778,0.397674674281135,1.82910860507863e-102,1.24379385145347e-100
"Jerala_P11:Jerala_P9",2204,2218,137,278,2956,835,130,78,153,102,7,4,1569,1416,142,5608,1470,813,184,4682,844.395129926227,0.774642003994342,0.539901921240081,0.0358929445702612,0.0841627665785435
"Jerala_P12:Jerala_P9",3540,2249,219,144,2564,1442,229,241,259,60,13,2,1854,2021,79,1080,1235,1026,302,765,464.433913440323,0.231826751247575,0.334965202575217,0.3728676093065,0.539468030486001
"Jerala_P10:Jerala_P11",2959,1520,2000,2162,4496,2542,310,389,213,142,5,3,3157,1117,1229,431,1816,842,2403,314,980.031282425257,1.340408554029,0.458538207941898,0.000283329364753692,0.00240829960040638
"Jerala_P10:Jerala_P12",7001,3112,604,496,3496,3535,227,5395,154,201,4,8,3095,1346,435,90,1998,838,384,1020,1196.63688553922,0.744434508620192,0.54478515950552,NA,NA
"Jerala_P11:Jerala_P12",1073,1503,8068,35130,1351,822,5200,15002,183,121,5374,2719,2068,2527,18148,18221,1167,1477,25450,10407,32892.5636582743,7.50627929644439,0.532539312436679,1.86276366769964e-45,3.16669823508939e-44
"Jerala_P1:Jerala_P1",14,14,8,10,5,5,11,16,4,4,0,0,243,243,35,30,47,47,41,36,20.4890127254784,0.547288036783117,0.531743284462934,0.119716297085406,0.246688127327503
"Jerala_P2:Jerala_P2",48,48,9,12,23,23,5,8,2,2,1,2,400,400,54,45,97,97,67,58,36.4795014378543,0.48976357343602,0.489336974732676,0.144292265972716,0.272552057948463
"Jerala_P3:Jerala_P3",1540,1540,135,176,1676,1676,2928,4410,51,51,2,3,637,637,275,230,529,529,178,153,1119.18532449013,2.90372603007728,0.900659143459129,NA,NA
"Jerala_P4:Jerala_P4",9,9,3,4,5,5,4,5,2,2,0,0,2,2,0,0,1,1,2,1,2.86457839549644,1.09228229339432,0.745298004008507,0.0135759679976301,0.0419620829017658
"Jerala_P5:Jerala_P5",1320,1320,174,227,1909,1909,133,201,51,51,1,2,785,785,562,471,789,789,569,490,319.091938422784,0.829024281450631,0.309030634625424,0.00168904404750646,0.00717843720190246
"Jerala_P6:Jerala_P6",23,23,6,7,6,6,2,3,1,1,1,2,141,141,29,24,63,63,47,40,23.0494841861492,0.845518071610786,0.57051877718806,0.0273453476504573,0.0706363271016274
"Jerala_P7:Jerala_P7",1564,1564,123,160,1508,1508,79,119,68,68,1,2,513,513,32,27,344,344,111,96,168.630080243175,-0.22529410077128,0.346996574959798,0.397959092158189,0.554000629138816
"Jerala_P8:Jerala_P8",3,3,0,0,6,6,2,3,1,1,0,0,143,143,18,15,17,17,31,26,9.15713817708582,0.358864801364727,0.583242817137471,0.303755777615599,0.469440747224108
"Jerala_P12:Jerala_P12",3174,3174,301,392,1433,1433,68,102,104,104,1,2,1295,1295,160,135,587,587,204,176,285.754313716436,-0.121463420238873,0.307622404177979,0.619912609705107,0.722885445085588
