"","trp1_l68","his1_l68","trp1_new_1_smaller","his1_new_1_smaller","trp1_new_2_smaller","his1_new_2_smaller","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P8:AD:PUMA_M144A_Y152A",4356,446,1974,200,1227,116,791.281213128086,-0.099760497268842,0.336416334297852,0.596906396662612,NA
"DBD:Jerala_P9:AD:PUMA_M144A_Y152A",1492,185,1134,52,732,71,347.836681985915,-0.203547088453786,0.345948530201089,0.292702659782162,NA
"DBD:Jerala_P10:AD:PUMA_M144A_Y152A",1828,115,2035,189,1639,257,642.24730731162,-0.16694197142732,0.33114196823038,0.387843524178848,NA
"DBD:Jerala_P11:AD:PUMA_M144A_Y152A",842,57,1624,385,1270,691,812.121541792165,0.261518619998555,0.437697877372847,0.18056706219692,NA
"DBD:Jerala_P12:AD:PUMA_M144A_Y152A",1971,127,1738,130,1219,114,496.835724986714,-0.348034881186237,0.342011994910568,0.0894968390543454,NA
"DBD:Jerala_P2:AD:Jerala_P1",320,14270,2184,13542,1621,17966,21883.7507332005,5.79763164927209,0.962562050396209,6.51430031321408e-10,7.15125412161724e-09
"DBD:Jerala_P3:AD:Jerala_P1",71,1,1715,89,1231,183,365.922833242063,-0.0915855646802186,0.605522138726857,0.629252091580983,NA
"DBD:Jerala_P4:AD:Jerala_P1",776,47,3769,188,2779,389,847.141414178481,-0.209200472548665,0.422950748820116,0.263794576303485,NA
"DBD:Jerala_P5:AD:Jerala_P1",967,206,1989,233,1172,112,557.491592611108,-0.0225832258239279,0.334811275429313,0.903846928881726,NA
"DBD:Jerala_P6:AD:Jerala_P1",1941,148,1799,235,1421,237,643.144845445482,-0.0660279071620953,0.318344993387223,0.731611307755804,NA
"DBD:Jerala_P7:AD:Jerala_P1",158,9,1486,152,1202,169,387.632167862779,-0.0757808404193005,0.405515298056155,0.655217471041942,NA
"DBD:Jerala_P8:AD:Jerala_P1",1827,224,1804,1580,1318,8448,4918.48084281166,2.76056896661141,1.72092281929567,0.00193554522722597,0.0107433633960632
"DBD:Jerala_P9:AD:Jerala_P1",383,105,1635,153,1163,116,420.83070844582,-0.0964762342701341,0.358613026747282,0.595905572412281,NA
"DBD:Jerala_P10:AD:Jerala_P1",348,18,2480,224,1479,2922,1690.70998301627,0.47587763343347,0.868101187984467,0.0839596324793906,0.206348549476711
"DBD:Jerala_P11:AD:Jerala_P1",244,23,1582,277,1371,745,737.440607199345,0.196325230407438,0.455938768931913,0.288054899283095,NA
"DBD:Jerala_P12:AD:Jerala_P1",1214,109,2057,73,1507,146,484.708308581495,-0.459865176096944,0.424692330311232,0.0371841419801,NA
"DBD:Jerala_P3:AD:Jerala_P2",323,70,3691,710,2888,328,1130.41052050949,0.0239353592981447,0.402644665331598,0.885602833601823,NA
"DBD:Jerala_P4:AD:Jerala_P2",351,29,7579,1070,4879,1290,2180.36809820272,0.0374963567913432,0.455214205155977,0.820294956006577,0.896517053688604
