"","count_DBDAD_trp1_l61_2mM","count_ADDBD_trp1_l61_2mM","count_DBDAD_his1_l61_2mM","count_ADDBD_his1_l61_2mM","count_DBDAD_trp1_l62_2mM","count_ADDBD_trp1_l62_2mM","count_DBDAD_his1_l62_2mM","count_ADDBD_his1_l62_2mM","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"Jerala_P7:Jerala_P8",2019,2071,3266,29996,1392,2410,746,18154,21089.6195456579,4.96704326907838,0.691445495809785,3.44893597444622e-13,4.48361676678009e-12
"Jerala_P7:Jerala_P9",2028,2664,141,2462,983,4101,56,178,1434.25068272021,0.138890349017467,0.401563392603888,0.462435188949807,0.5898844139159
"Jerala_P10:Jerala_P7",1334,5186,124,418,1790,1732,110,107,709.260365437239,-0.151686951007657,0.313405507016769,0.443964328563419,0.577153627132444
"Jerala_P11:Jerala_P7",2102,1566,1348,478,1954,3782,136,382,1308.25676036411,0.414240741292981,0.479319110532445,0.0710787199560279,0.191177246778282
"Jerala_P12:Jerala_P7",2541,3227,201,461,1444,5175,75,265,923.993960242028,-0.219418752542123,0.270214174494886,0.266244122167679,0.370840027304982
"Jerala_P8:Jerala_P9",3133,4258,260,906,3173,2754,209,126,1138.5968866696,0.0206118674972877,0.322327213048389,0.915314919011582,0.927202125751992
"Jerala_P10:Jerala_P8",1600,3338,1096,280,3672,11007,228,741,1830.76417224958,0.093632768479365,0.37769285085757,0.615015715230597,0.705459202764508
"Jerala_P11:Jerala_P8",2190,2400,176,273,3954,2516,220,199,848.061282086498,-0.139373564517756,0.277330866070889,0.4804605643048,0.594855936758323
"Jerala_P12:Jerala_P8",3965,3097,370,217,3632,2890,164,194,960.317020516273,-0.40287323949412,0.182653740480933,0.0121538203924925,0.0517930115060147
"Jerala_P10:Jerala_P9",1339,1561,69496,59826,2408,1733,42353,70229,104517.67035567,8.41021295306476,0.348738278022009,2.23095651471373e-129,1.74014608147671e-127
"Jerala_P11:Jerala_P9",2204,2218,137,278,2956,835,130,78,597.204263208534,-0.127878174397555,0.314494587216082,0.516840510723434,0.629899372444185
"Jerala_P12:Jerala_P9",3540,2249,219,144,2564,1442,229,241,780.672524963841,-0.0261649481656163,0.275179982067865,0.894170672770126,0.917701479948287
