"","trp1_l61_2mM","his1_l61_2mM","trp1_l62_2mM","his1_l62_2mM","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P7:AD:Jerala_P12",2541,201,1444,75,529.341384752561,-0.0189147133456944,0.164390248938146,0.531338541706284,0.789404555413207
"DBD:Jerala_P8:AD:Jerala_P9",3133,260,3173,209,896.935381567689,-0.00905079798891411,0.106975693719821,0.62653550401609,0.789404555413207
"DBD:Jerala_P8:AD:Jerala_P10",1600,1096,3672,228,1462.41328539119,0.16349873446865,0.528436743902384,0.137710601663227,0.521850701039598
"DBD:Jerala_P8:AD:Jerala_P11",2190,176,3954,220,841.642560273176,-0.0199232283421654,0.174946794503505,0.544327684208051,0.789404555413207
"DBD:Jerala_P8:AD:Jerala_P12",3965,370,3632,164,1029.1765361548,-0.0169330492641339,0.14048153236926,0.487838930766425,0.789404555413207
"DBD:Jerala_P9:AD:Jerala_P10",1339,69496,2408,42353,95707.3706965152,8.19426513612364,0.636370347783713,1.24471939235067e-38,4.48098981246243e-37
"DBD:Jerala_P9:AD:Jerala_P11",2204,137,2956,130,638.509856433197,-0.055980068862313,0.24978290137024,0.193416074373555,0.632998061586179
"DBD:Jerala_P9:AD:Jerala_P12",3540,219,2564,229,867.423399017104,-0.00826470146080272,0.115999568325898,0.693141004883971,0.792656467549103
"DBD:Jerala_P10:AD:Jerala_P11",2959,2000,4496,310,2380.76558071154,0.302637911796197,0.730002818550824,0.0730206891004477,0.33919287840208
"DBD:Jerala_P10:AD:Jerala_P12",7001,604,3496,227,1477.2750575505,-0.0089983214947566,0.144864723582991,0.748252184748174,0.822506218349138
"DBD:Jerala_P11:AD:Jerala_P12",1073,8068,1351,5200,11560.5131633369,5.83905642844504,0.53955536776661,1.23441535535884e-27,2.5393687310239e-26
"DBD:Jerala_P1:AD:Jerala_P1",14,8,5,11,18.7977186897374,3.43310672165321,0.898633211076343,4.2887787215245e-05,0.000475064719922714
"DBD:Jerala_P2:AD:Jerala_P2",48,9,23,5,17.2233239500105,0.125286099274531,0.435923136278051,0.145212248041468,0.526395386616224
"DBD:Jerala_P3:AD:Jerala_P3",1540,135,1676,2928,3401.95712175642,2.44424961816453,1.86942862750891,0.00551986263860031,0.0361300099981111
"DBD:Jerala_P4:AD:Jerala_P4",9,3,5,4,7.44703556297738,1.4532395694226,1.39833453753507,0.0085112679264417,0.0532879383220698
"DBD:Jerala_P5:AD:Jerala_P5",1320,174,1909,133,519.042480485097,0.00294231122022006,0.111339068860897,0.887509031010478,0.893715387870692
"DBD:Jerala_P6:AD:Jerala_P6",23,6,6,2,8.67420806600003,0.244435154943957,0.689040398691657,0.114660645531522,0.478093572624206
"DBD:Jerala_P7:AD:Jerala_P7",1564,123,1508,79,410.118265055983,-0.020395144989095,0.141101410200696,0.383516858655941,0.789404555413207
