"","trp1_l61_2mM","his1_l61_2mM","trp1_l62_2mM","his1_l62_2mM","trp1_l67","his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P4:AD:Jerala_P10",4647,966,4222,2446,244,30,1354.10104327468,0.619571152439406,0.78409951506713,0.0925309868711604,0.155722880344148
"DBD:Jerala_P4:AD:Jerala_P11",2266,1524,1717,128,130,16,521.534878041111,0.679477583786881,0.557327807660539,0.0443584244437124,0.126058111383754
"DBD:Jerala_P5:AD:Jerala_P2",4294,280,3895,255,321,12,490.059075745341,-0.580869577046223,0.381742038898282,0.047431303704868,0.126058111383754
"DBD:Jerala_P5:AD:Jerala_P3",3212,230,2417,147,143,12,314.672087675932,-0.457787726225876,0.288552225584712,0.0667344120855808,0.139609405873813
"DBD:Jerala_P5:AD:Jerala_P6",1203,21659,2184,9798,220,5264,21396.4514362487,6.90896456003728,0.619468392962472,3.70924372714474e-29,3.19922271466234e-28
"DBD:Jerala_P5:AD:Jerala_P11",2945,871,1664,89,204,36,479.285937732813,0.331479481852038,0.420175731873251,0.269607300666367,0.315303453321683
"DBD:Jerala_P6:AD:Jerala_P2",2679,1363,2270,149,178,21,553.032848134759,0.458501794616487,0.479673882997533,0.143047282737636,0.210005585295679
"DBD:Jerala_P6:AD:Jerala_P3",2999,230,1166,75,192,10,266.601986698019,-0.549275683708277,0.357364345847673,0.0528859195995266,0.130326016155976
"DBD:Jerala_P6:AD:Jerala_P4",1449,119,1061,66,184,19,225.123826958959,-0.345089920357283,0.380717309319517,0.235779261965396,0.288782039154243
"DBD:Jerala_P6:AD:Jerala_P5",1663,3625,1499,332,158,1237,4218.73259628237,4.7388054690486,1.0563960456389,2.84875159447597e-06,1.63803216682368e-05
"DBD:Jerala_P6:AD:Jerala_P8",2849,193,1720,117,105,14,262.065431905332,-0.325658858263621,0.305032188164055,0.208955995084322,0.262144793833058
"DBD:Jerala_P6:AD:Jerala_P9",1546,2437,1299,95,163,357,1575.20304266189,2.50642487103399,1.58260018605035,0.00306919724192528,0.0151267578352032
"DBD:Jerala_P6:AD:Jerala_P10",2524,159,741,44,164,374,1176.07037811418,1.34947970169187,1.41360770280217,NA,NA
"DBD:Jerala_P6:AD:Jerala_P11",2376,196,2009,111,122,14,264.066900465927,-0.3741684776679,0.289186131717887,0.134778595825284,0.203990308478839
"DBD:Jerala_P6:AD:Jerala_P12",1919,140,1407,91,219,11,249.08176317964,-0.652924775101763,0.353177659493651,0.0205731922012833,0.0747131716783446
"DBD:Jerala_P7:AD:Jerala_P4",1048,80,1347,88,193,11,205.323244337548,-0.520860100986653,0.416734660710737,0.085586021253364,0.155151723374169
"DBD:Jerala_P7:AD:Jerala_P5",3027,221,2053,107,63,14,261.368309077746,-0.259228810512245,0.342060848993576,0.349268319942073,0.370761755015431
"DBD:Jerala_P7:AD:Jerala_P8",2019,3266,1392,746,92,2263,6984.2103672412,5.71773158393182,0.970099569212885,2.38007358532599e-09,1.49295524897721e-08
"DBD:Jerala_P7:AD:Jerala_P9",2028,141,983,56,160,11,207.01550858529,-0.54124758014927,0.389154285080262,0.066769715852693,0.139609405873813
"DBD:Jerala_P8:AD:Jerala_P3",2486,189,1757,89,235,159,678.834227515603,0.493531081231339,0.616005729385325,0.135993538985893,0.203990308478839
"DBD:Jerala_P8:AD:Jerala_P6",2744,259,4016,254,208,14,416.196018887998,-0.358283035223329,0.334953664964536,0.19102062101916,0.248687223590982
"DBD:Jerala_P8:AD:Jerala_P7",2071,29996,2410,18154,97,3182,20106.5181960505,7.02616010167327,0.46460663328772,6.04132077022336e-52,6.94751888575687e-51
"DBD:Jerala_P8:AD:Jerala_P11",2190,176,3954,220,189,12,362.699082048948,-0.473511713384682,0.346702904145333,0.0899430280429967,0.155151723374169
"DBD:Jerala_P8:AD:Jerala_P12",3965,370,3632,164,292,23,481.998989451436,-0.471151187595054,0.341126719056934,0.0887684949686961,0.155151723374169
"DBD:Jerala_P9:AD:Jerala_P1",2816,1140,1977,126,170,21,495.32346352217,0.418554258112397,0.441245573784287,0.171216014945774,0.236278100625168
"DBD:Jerala_P9:AD:Jerala_P2",2271,866,2000,106,193,26,446.643045613618,0.348461664739559,0.397393478451767,0.23855907582307,0.288782039154243
"DBD:Jerala_P9:AD:Jerala_P3",4845,308,3530,163,299,19,479.233388997694,-0.680158654984167,0.349210651667916,0.015187232163123,0.0582177232919716
"DBD:Jerala_P9:AD:Jerala_P5",7351,450,3753,4194,113,11,1761.09861755441,0.72588172752494,1.03416351153948,0.0882042011906087,0.155151723374169
"DBD:Jerala_P9:AD:Jerala_P8",4258,906,2754,126,176,17,495.958058318117,0.0761875952788301,0.413339628604732,0.79698909152796,0.820779810678049
"DBD:Jerala_P9:AD:Jerala_P10",1339,69496,2408,42353,112,2876,34541.6690417572,7.9324695917142,0.412613089887193,1.01477201040533e-82,1.75048171794919e-81
"DBD:Jerala_P9:AD:Jerala_P12",3540,219,2564,229,259,13,396.523140436168,-0.478845625023856,0.324813062253403,0.0753393378348873,0.148526123160206
"DBD:Jerala_P10:AD:Jerala_P1",4259,326,5098,337,192,15,515.622189226776,-0.295785625641059,0.394244193396952,0.314931488225703,0.347649408378059
"DBD:Jerala_P10:AD:Jerala_P3",6396,1021,4536,309,505,59,908.331681172312,-0.0106238948706456,0.45712736703916,0.971577439685685,0.971577439685685
"DBD:Jerala_P10:AD:Jerala_P6",5601,2544,4966,333,256,33,1037.72350346417,0.324485318160872,0.555418854726383,0.294621097304194,0.338814261899823
"DBD:Jerala_P10:AD:Jerala_P7",5186,418,1732,107,294,13,424.335320806342,-0.526667084376486,0.387468713809197,0.0738034670331919,0.148526123160206
"DBD:Jerala_P10:AD:Jerala_P9",1561,59826,1733,70229,128,4934,47016.3101146499,8.46957701888375,0.345536227076688,4.42848507185804e-133,1.52782734979102e-131
"DBD:Jerala_P11:AD:Jerala_P1",1736,190,2447,188,114,53,384.965946664987,0.376640071780898,0.365371186350888,0.188235447319256,0.248687223590982
"DBD:Jerala_P11:AD:Jerala_P2",3909,383,1686,171,212,139,710.929204859323,0.498863507467166,0.555778707148232,0.124527893450034,0.203990308478839
"DBD:Jerala_P11:AD:Jerala_P3",2653,291,3184,572,129,42,543.652967784761,0.456076261517397,0.429234078611959,0.134310274469663,0.203990308478839
"DBD:Jerala_P11:AD:Jerala_P4",1747,262,2329,351,158,361,1281.45498942902,1.49735450254549,1.33292097666061,0.012969381055086,0.0526404289882902
"DBD:Jerala_P11:AD:Jerala_P5",2224,258,3164,6665,269,211,2967.30272835962,2.82369935697841,1.48237159980617,0.00135681447241486,0.00720155373820196
"DBD:Jerala_P11:AD:Jerala_P6",2725,259,3874,272,239,110,684.082779815165,0.305816118116399,0.482095830735806,0.317419025040837,0.347649408378059
"DBD:Jerala_P11:AD:Jerala_P7",1566,478,3782,382,115,71,581.771259978174,0.608305124848732,0.475064557934014,0.0561768308526529,0.133662114787347
"DBD:Jerala_P11:AD:Jerala_P8",2400,273,2516,199,159,71,486.105281818749,0.392419623474197,0.402294447680901,0.187008755997179,0.248687223590982
"DBD:Jerala_P11:AD:Jerala_P10",1520,2162,2542,389,152,61,859.367612591073,1.32767475047102,0.87034768097609,0.00420810323393247,0.0193572748760893
"DBD:Jerala_P11:AD:Jerala_P12",1073,8068,1351,5200,35,705,5142.68202198011,6.00632568953174,0.742018337244265,3.56783174413977e-16,2.46180390345644e-15
"DBD:Jerala_P12:AD:Jerala_P3",3173,284,1265,75,137,156,650.149117948113,0.680119865530745,0.691344660896675,0.0593296585976687,0.136458214774638
"DBD:Jerala_P12:AD:Jerala_P4",1707,113,2022,117,203,12,260.415900021072,-0.638292489558463,0.344997913877506,0.0218616873302991,0.0754228212895318
"DBD:Jerala_P12:AD:Jerala_P6",3169,220,3638,242,278,13,428.27905554441,-0.541158449726142,0.345408804934042,0.0521833607941298,0.130326016155976
"DBD:Jerala_P12:AD:Jerala_P11",1503,35130,822,15002,121,2719,18810.7963569941,7.48209324605366,0.488992011961662,3.64058985915352e-53,5.02401400563185e-52
