"","trp1_l45","his1_l45","trp1_l66","his1_l66","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:BCDP01:AD:alphaBCL2",20796,3667,2000,267,3021.65247506604,-0.647001879586972,0.706280830320761,0.243622645698987,0.464534705781967
"DBD:BCDP01:AD:alphaBCLB",12867,7294,1313,135,2867.61303165224,0.188083223264547,0.842607273711932,0.760028786140681,0.9536910483072
"DBD:BCDP01:AD:alphaBFL1",20953,8118,1490,378,3862.21271089505,0.0945729185167981,0.739077116994567,0.868084653028098,0.973951235800064
"DBD:BCDP01:AD:alphaMCL1",23672,5904,1210,366,3475.86712297188,-0.154331962083967,0.746539535909831,0.787697110310839,0.9536910483072
"DBD:BECM01:AD:2CDP06",17280,1811,1388,124,2059.53835485559,-1.2150235657042,0.758208531064218,0.0408913491456422,0.121059915233809
"DBD:BECM01:AD:BCDP01",12410,8275,1403,108,3037.63796672523,0.253989739782017,0.88147188139045,0.687446211583124,0.906288146332397
"DBD:BECM01:AD:BECM01",9031,4187,40,8,1419.23764740847,0.142188733045848,1.30222419752149,0.828125393301665,0.973951235800064
"DBD:BECM01:AD:Bcl-2",5752,2324,1988,571,2150.30281023324,0.0287769825447818,0.563039608434571,0.951472309121819,0.99344632156761
"DBD:BECM01:AD:Bcl-B",28449,183089,1443,698,39633.3343499918,1.93754408312703,1.34065477046528,0.0192972907273805,0.0711785313714854
"DBD:BECM01:AD:Bcl-w",5001,1481,3572,1104,3080.1330839592,-0.0357888983787985,0.799789416801536,0.952225815870209,0.99344632156761
"DBD:BECM01:AD:Bcl-xL",4314,2027,1940,7583,9671.24444965259,1.7447793127179,1.21074475216573,0.0289395986546218,0.0957560249601455
"DBD:BECM01:AD:Bfl-1",10926,21019,1702,7948,14192.7601404515,2.81528507080654,0.747597144815698,2.33306460240584e-05,0.000374956811100938
