,count_DBDAD_trp1_l61_2mM,count_ADDBD_trp1_l61_2mM,count_DBDAD_his1_l61_2mM,count_ADDBD_his1_l61_2mM,count_DBDAD_trp1_l67,count_ADDBD_trp1_l67,count_DBDAD_his1_l67,count_ADDBD_his1_l67
Jerala_P10:Jerala_P11,2959.0,1520.0,2000.0,2162.0,213.0,142.0,5.0,3.0
Jerala_P10:Jerala_P12,7001.0,3112.0,604.0,496.0,154.0,201.0,4.0,8.0
Jerala_P11:Jerala_P12,1073.0,1503.0,8068.0,35130.0,183.0,121.0,5374.0,2719.0
Jerala_P1:Jerala_P1,14.0,14.0,8.0,10.0,4.0,4.0,0.0,0.0
Jerala_P2:Jerala_P2,48.0,48.0,9.0,12.0,2.0,2.0,1.0,2.0
Jerala_P3:Jerala_P3,1540.0,1540.0,135.0,176.0,51.0,51.0,2.0,3.0
Jerala_P4:Jerala_P4,9.0,9.0,3.0,4.0,2.0,2.0,0.0,0.0
Jerala_P5:Jerala_P5,1320.0,1320.0,174.0,227.0,51.0,51.0,1.0,2.0
Jerala_P6:Jerala_P6,23.0,23.0,6.0,7.0,1.0,1.0,1.0,2.0
Jerala_P7:Jerala_P7,1564.0,1564.0,123.0,160.0,68.0,68.0,1.0,2.0
Jerala_P8:Jerala_P8,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
Jerala_P12:Jerala_P12,3174.0,3174.0,301.0,392.0,104.0,104.0,1.0,2.0
