,trp1_l45,his1_l45,trp1_l66,his1_l66
DBD:alphaBCL2:AD:alphaBFL1,11828,645,1375,176
DBD:alphaBCL2:AD:alphaMCL1,11492,447,1333,103
DBD:alphaBCLB:AD:2CDP06,17537,1697,887,96
DBD:alphaBCLB:AD:BCDP01,13886,5989,685,187
DBD:alphaBCLB:AD:BECM01,10330,3393,446,104
DBD:alphaBCLB:AD:Bcl-2,6562,1534,1201,169
DBD:alphaBCLB:AD:Bcl-B,30109,164246,610,1507
DBD:alphaBCLB:AD:Bcl-w,4554,417,2684,286
DBD:alphaBCLB:AD:Bcl-xL,4418,985,1606,199
DBD:alphaBCLB:AD:Bfl-1,11961,4222,1372,160
DBD:alphaBCLB:AD:FECM04,14578,2742,938,153
DBD:alphaBCLB:AD:Mcl1[151-321],21979,8049,2019,194
DBD:alphaBCLB:AD:XCDP07,4159,498,314,23
DBD:alphaBCLB:AD:alphaBCL2,19627,1598,1128,188
DBD:alphaBCLB:AD:alphaBCLB,8010,3249,74,9
DBD:alphaBCLB:AD:alphaBFL1,24575,3957,1001,112
DBD:alphaBCLB:AD:alphaMCL1,21093,2722,762,87
DBD:alphaBFL1:AD:2CDP06,13920,787,1272,121
DBD:alphaBFL1:AD:BCDP01,12476,3366,1082,755
DBD:alphaBFL1:AD:BECM01,10172,1822,1092,347
DBD:alphaBFL1:AD:Bcl-2,4698,4483,1834,5279
DBD:alphaBFL1:AD:Bcl-B,34596,12615,1516,198
DBD:alphaBFL1:AD:Bcl-w,3986,617,3881,761
DBD:alphaBFL1:AD:Bcl-xL,3066,3875,1751,10206
DBD:alphaBFL1:AD:Bfl-1,10719,45510,1359,6340
DBD:alphaBFL1:AD:FECM04,11538,1759,1358,251
DBD:alphaBFL1:AD:Mcl1[151-321],16689,9164,3134,429
DBD:alphaBFL1:AD:XCDP07,2509,235,544,94
DBD:alphaBFL1:AD:alphaBCL2,15257,1725,1790,313
DBD:alphaBFL1:AD:alphaBCLB,12279,1669,1424,429
DBD:alphaBFL1:AD:alphaBFL1,2260,771,97,20
DBD:alphaBFL1:AD:alphaMCL1,19340,1445,1408,136
DBD:alphaMCL1:AD:2CDP06,10218,594,1259,115
DBD:alphaMCL1:AD:BCDP01,9809,2744,1146,246
DBD:alphaMCL1:AD:BECM01,9565,1704,1201,130
DBD:alphaMCL1:AD:Bcl-2,3453,586,1969,218
DBD:alphaMCL1:AD:Bcl-B,27384,12004,1431,139
DBD:alphaMCL1:AD:Bcl-w,3012,177,4063,945
DBD:alphaMCL1:AD:Bcl-xL,2322,338,2173,219
DBD:alphaMCL1:AD:Bfl-1,5932,5662,1867,1779
DBD:alphaMCL1:AD:FECM04,7601,1114,1602,193
DBD:alphaMCL1:AD:Mcl1[151-321],11830,46823,2491,12446
DBD:alphaMCL1:AD:XCDP07,3279,298,430,68
DBD:alphaMCL1:AD:alphaBCL2,8717,882,1858,221
DBD:alphaMCL1:AD:alphaBCLB,8230,1790,1238,230
DBD:alphaMCL1:AD:alphaBFL1,13820,2100,1394,167
DBD:alphaMCL1:AD:alphaMCL1,7951,1164,3,1
