PPI,trp1,his1
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_19_swap,721.0,1226.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_1_swap,1371.0,2482.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_20_swap,294.0,74.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_21_swap,526.0,572.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_22_swap,1111.0,1022.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_23_swap,227.0,212.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_24_swap,469.0,429.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_25_swap,5.0,16.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_26_swap,741.0,683.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_27_swap,901.0,507.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_28_swap,96.0,56.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_29_swap,858.0,820.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_2_swap,1138.0,1769.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_30_swap,379.0,3933.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_31_swap,666.0,648.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_32_swap,460.0,854.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_33_swap,469.0,319.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_34_swap,359.0,1288.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_35_swap,809.0,559.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_36_swap,676.0,736.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_37_swap,751.0,1953.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_38_swap,722.0,547.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_39_swap,506.0,192.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_3_swap,968.0,2185.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_40_swap,534.0,192.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_41_swap,702.0,1471.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_42_swap,200.0,315.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_43_swap,861.0,574.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_44_swap,12.0,13.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_45_swap,552.0,673.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_46_swap,2768.0,11478.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_47_swap,52.0,347.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_48_swap,98.0,580.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_49_swap,213.0,159.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_4_swap,374.0,297.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_50_swap,483.0,261.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_51_swap,1055.0,1758.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_52_swap,267.0,2577.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_53_swap,692.0,645.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_54_swap,858.0,311.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_55_swap,297.0,340.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_56_swap,848.0,1079.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_57_swap,957.0,533.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_58_swap,378.0,4599.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_59_swap,696.0,690.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_5_swap,4.0,20.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_60_swap,473.0,396.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_61_swap,983.0,1838.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_62_swap,385.0,390.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_63_swap,555.0,455.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_64_swap,234.0,140.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_65_swap,729.0,689.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_66_swap,423.0,547.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_67_swap,660.0,391.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_68_swap,213.0,1293.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_69_swap,531.0,400.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_6_swap,387.0,135.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_70_swap,658.0,699.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_71_swap,964.0,973.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_72_swap,294.0,435.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_73_swap,412.0,293.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_74_swap,19.0,37.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_75_swap,344.0,148.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_76_swap,549.0,1230.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_77_swap,504.0,459.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_78_swap,4.0,5.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_79_swap,367.0,313.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_7_swap,277.0,118.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_80_swap,1088.0,990.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_81_swap,247.0,83.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_82_swap,1317.0,1770.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_83_swap,497.0,470.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_84_swap,391.0,422.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_85_swap,349.0,5865.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_86_swap,606.0,417.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_87_swap,753.0,724.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_88_swap,290.0,3438.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_89_swap,65.0,359.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_8_swap,1146.0,1131.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_90_swap,17.0,54.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_91_swap,110.0,145.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_92_swap,306.0,205.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_93_swap,524.0,7083.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_94_swap,46.0,9.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_95_swap,1514.0,3484.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_96_swap,2.0,6.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_97_swap,1045.0,1969.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_98_swap,186.0,275.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_99_swap,1596.0,701.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_9_swap,353.0,365.0
DBD:A_HT_DHD_100_swap:AD:B_ZCON_13_swap,762.0,820.0
DBD:A_HT_DHD_100_swap:AD:B_ZCON_150_swap,190.0,104.0
DBD:A_HT_DHD_100_swap:AD:B_ZCON_154_swap,350.0,191.0
DBD:A_HT_DHD_100_swap:AD:B_ZCON_155_swap,590.0,687.0
DBD:A_HT_DHD_100_swap:AD:B_ZCON_15_re_loop_swap,708.0,403.0
DBD:A_HT_DHD_100_swap:AD:B_ZCON_162_swap,135.0,78.0
DBD:A_HT_DHD_100_swap:AD:B_ZCON_37_3_swap,230.0,312.0
DBD:A_HT_DHD_100_swap:AD:B_ZCON_37_swap,559.0,495.0
DBD:A_HT_DHD_100_swap:AD:B_ZCON_6_swap,265.0,128.0
