"","count_DBDAD_trp1","count_ADDBD_trp1","count_DBDAD_his1","count_ADDBD_his1","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"AN3:PUMA_M144A_Y152A",11411,8584,770,1055,3083.31463462931,-0.00374436316634816,0.270102851686072,0.985697625933711,0.995627449226087
"AN3:Jerala_P1",3866,3053,375,208,997.444717212543,-0.120674387373686,0.222723565108708,0.524140041763143,0.672108005839418
"AN3:Jerala_P2",2925,1591,239,61,567.234486750073,-0.340248290183238,0.317216381190976,0.11870989186943,0.248597013817474
"AN3:Jerala_P3",5605,786,528,92,917.076220772913,0.136612644390636,0.217005411352792,0.463435251769052,0.620157131516677
"AN3:Jerala_P4",3849,1304,385,116,763.217381043154,0.0404199677433689,0.185056392184915,0.8079980004716,0.888844440455138
"AN3:Jerala_P5",5833,1494,392,73,876.719933746911,-0.4792271876212,0.227897455715463,0.0125743847579983,0.0440786857005919
"AN3:Jerala_P6",4774,1279,525,82,892.563018763616,-0.0643211771291219,0.267569464832892,0.757352750651969,0.84955221594873
"AN3:Jerala_P7",6347,1765,454,147,1050.77567638041,-0.209656827262522,0.176415240753117,0.190686331708191,0.33882282080381
"AN3:Jerala_P8",5248,2158,308,183,939.362603386314,-0.264789546522845,0.235597728835449,0.176662310329962,0.325563400465216
"AN3:Jerala_P9",2770,5674,253,599,1437.46183548839,0.0949517168961536,0.145272753657528,0.48619552046319,0.643934518888619
"AN3:Jerala_P10",4296,2145,376,84,829.261887163365,-0.307719508247706,0.315992626440869,0.156851026773392,0.302900934936639
"AN3:Jerala_P11",5143,4173,488,386,1433.28120084687,0.0316082444712701,0.117177163036148,0.778813020112261,0.867589633803814
"AN3:Jerala_P12",5572,2046,372,193,1007.54366274588,-0.151373400981647,0.225538887288403,0.427897010529166,0.584732143625662
"AN35:AN4",12294,9975,2721,2150,5733.47719772101,1.06355714963082,0.223376363070266,7.21591941869354e-09,8.0246000432023e-08
"AN35:BN3",14040,15084,873,939,3789.84171046032,-0.49223379001224,0.146318489694477,0.000325285075789372,0.00180869718865642
"AN35:BN35",16654,30704,10781,29688,40054.3121264365,3.10035806552875,0.38924934034822,1.25140876438171e-15,2.12410171849e-14
"AN35:BN4",9915,19695,103092,47024,122518.118968131,5.70921805525454,0.650067321382913,1.07754406532165e-18,1.98575977752132e-17
"AN35:PUMA_M144A_A139G",12713,7209,5165,763,5975.06181304918,0.355394326293195,0.416986317901529,0.0912772591499924,0.204423028304671
"AN35:PUMA_M144A_A139G_A150G",10119,7179,891,438,2372.18945781096,-0.242243179877232,0.206939136843284,0.179446731042219,0.329752539949377
"AN35:PUMA_M144A_D147G",14966,8375,1492,1773,4516.6572400339,0.324419731681194,0.317921287697184,0.136295352811059,0.273864493966146
"AN35:PUMA_M144A_E132A",17292,6863,1202,469,3081.83713101859,-0.369708342767589,0.131246938222083,0.0030086091686891,0.0133831235434791
"AN35:PUMA_M144A_E136G",7944,7034,588,440,1994.81400885706,-0.377036580651107,0.144246746262485,0.00536110380507543,0.0214777140016997
"AN35:PUMA_M144A_E158A",9627,7032,1150,418,2496.06090538138,-0.0669537297191174,0.277344562424444,0.750706255756591,0.844114945350905
"AN35:PUMA_M144A_I137A",10788,7341,775,766,2660.41325229527,-0.0589990996625821,0.216574423580116,0.751196866095224,0.844114945350905
"AN35:PUMA_M144A_R143A",15413,6012,1247,359,2809.31095904906,-0.303612140647696,0.20310419305232,0.0881884696725458,0.199507343619341
"AN35:PUMA_M144A_W133F",14520,5143,940,333,2425.09779615817,-0.458648535209356,0.122371999801704,8.78407229854679e-05,0.000570608940175816
"AN35:PUMA_M144A_Y152A",12710,6229,892,404,2431.31356035821,-0.396199768251887,0.13112331942214,0.00145967020996855,0.00707885177014822
"AN35:Jerala_P1",2509,2648,185,461,974.772757457516,0.145357630660309,0.31638824482183,0.498773786685383,0.651232980591238
"AN35:Jerala_P2",3959,2636,806,179,1253.77441409575,0.155523402676745,0.330557396041456,0.466830843474159,0.623407648117665
"AN35:Jerala_P3",4503,1659,333,148,830.692554171211,-0.139758329692859,0.196644683422416,0.421970301176761,0.581561633032075
"AN35:Jerala_P4",3682,4024,307,7882,8362.44319847771,0.325351261027881,0.676117659171082,0.101597296828945,0.222136462558201
"AN35:Jerala_P5",3596,2337,185,233,802.399882521479,-0.18811153224328,0.294131961527496,0.379758752593814,0.534752480363767
"AN35:Jerala_P6",4369,1232,792,101,1074.12286517846,0.219518661043326,0.302827821604919,0.308013348931032,0.459881041806749
"AN35:Jerala_P7",4030,1649,310,106,741.165515116682,-0.285585669636044,0.206064688548501,0.112402696723773,0.23848598482511
"AN35:Jerala_P8",2442,4468,147,426,1067.63341921156,-0.174880695099666,0.247550536017156,0.384822216381073,0.538417200793475
"AN35:Jerala_P9",2464,1834,233,141,629.669053559334,-0.0745988777975757,0.207025281225953,0.679435416548631,0.799700444660341
"AN35:Jerala_P10",2850,2907,216,145,740.446506457566,-0.380126534324833,0.251193932224613,0.06108601876717,0.157601928419299
"AN35:Jerala_P11",2643,2145,244,193,726.529235592012,-0.00456807716912707,0.173748332758466,0.97698258323293,0.989257903092953
"AN35:Jerala_P12",1473,1998,122,187,540.627628395172,-0.0405484714857597,0.203950710824046,0.820450205171338,0.895683941141691
"AN4:BN3",16520,13403,1291,1023,4194.71031066709,-0.211733212550364,0.15491308440703,0.141552183082148,0.281793697802424
"AN4:BN35",25368,20582,305957,242635,458660.975201799,7.0258279039655,0.0256588595954175,0,0
"AN4:BN4",10651,8641,348604,276438,520062.748432417,8.46622278461347,0.0238667862615778,0,0
"AN4:PUMA_M144A_A139G",5755,4669,3954,3135,6674.14854991728,2.88765042087969,0.246984178810802,1.15349593135016e-31,2.56553405420984e-30
