,count_DBDAD_trp1,count_ADDBD_trp1,count_DBDAD_his1,count_ADDBD_his1
A_HT_DHD_100_swap:B_HT_DHD_52_swap,83.0,68.0,265.0,225.0
A_HT_DHD_100_swap:B_HT_DHD_53_swap,55.0,45.0,49.0,41.0
A_HT_DHD_100_swap:B_HT_DHD_54_swap,151.0,124.0,56.0,47.0
A_HT_DHD_100_swap:B_HT_DHD_55_swap,216.0,177.0,70.0,59.0
A_HT_DHD_100_swap:B_HT_DHD_56_swap,339.0,278.0,73.0,62.0
A_HT_DHD_100_swap:B_HT_DHD_57_swap,41.0,33.0,30.0,25.0
A_HT_DHD_100_swap:B_HT_DHD_58_swap,1130.0,928.0,813.0,692.0
A_HT_DHD_100_swap:B_HT_DHD_59_swap,162.0,133.0,70.0,59.0
A_HT_DHD_100_swap:B_HT_DHD_5_swap,59.0,48.0,18.0,15.0
A_HT_DHD_100_swap:B_HT_DHD_60_swap,150.0,123.0,43.0,36.0
A_HT_DHD_100_swap:B_HT_DHD_61_swap,3645.0,2994.0,1582.0,1347.0
A_HT_DHD_100_swap:B_HT_DHD_62_swap,1148.0,943.0,689.0,586.0
A_HT_DHD_100_swap:B_HT_DHD_63_swap,223.0,183.0,106.0,90.0
A_HT_DHD_100_swap:B_HT_DHD_64_swap,147.0,120.0,89.0,75.0
A_HT_DHD_100_swap:B_HT_DHD_65_swap,546.0,448.0,213.0,181.0
A_HT_DHD_100_swap:B_HT_DHD_66_swap,74.0,60.0,23.0,19.0
A_HT_DHD_100_swap:B_HT_DHD_67_swap,334.0,274.0,50.0,42.0
A_HT_DHD_100_swap:B_HT_DHD_68_swap,93.0,76.0,21.0,17.0
A_HT_DHD_100_swap:B_HT_DHD_69_swap,343.0,281.0,167.0,141.0
A_HT_DHD_100_swap:B_HT_DHD_6_swap,111.0,91.0,23.0,19.0
A_HT_DHD_100_swap:B_HT_DHD_70_swap,9.0,7.0,7.0,5.0
A_HT_DHD_100_swap:B_HT_DHD_71_swap,434.0,356.0,135.0,114.0
A_HT_DHD_100_swap:B_HT_DHD_72_swap,306.0,251.0,252.0,214.0
A_HT_DHD_100_swap:B_HT_DHD_73_swap,299.0,245.0,53.0,45.0
A_HT_DHD_100_swap:B_HT_DHD_74_swap,209.0,171.0,81.0,68.0
A_HT_DHD_100_swap:B_HT_DHD_75_swap,25.0,20.0,19.0,15.0
A_HT_DHD_100_swap:B_HT_DHD_76_swap,333.0,273.0,121.0,102.0
A_HT_DHD_100_swap:B_HT_DHD_77_swap,220.0,180.0,50.0,42.0
A_HT_DHD_100_swap:B_HT_DHD_78_swap,1737.0,1427.0,1024.0,872.0
A_HT_DHD_100_swap:B_HT_DHD_79_swap,39.0,32.0,11.0,9.0
A_HT_DHD_100_swap:B_HT_DHD_7_swap,21.0,17.0,8.0,6.0
