PPI,trp1,his1
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_1_swap,96.0,4.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_20_swap,247.0,4.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_21_swap,114.0,4.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_22_swap,344.0,3.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_23_swap,242.0,20.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_24_swap,318.0,23.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_25_swap,77.0,18.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_26_swap,1163.0,767.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_27_swap,329.0,643.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_28_swap,43.0,1.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_29_swap,1.0,0.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_2_swap,236.0,3.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_30_swap,296.0,6.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_31_swap,186.0,4.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_32_swap,167.0,90.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_33_swap,290.0,8.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_34_swap,119.0,12.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_35_swap,226.0,18.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_36_swap,461.0,135.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_37_swap,427.0,124.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_38_swap,190.0,22.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_39_swap,984.0,129.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_3_swap,331.0,11.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_40_swap,373.0,648.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_41_swap,296.0,20.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_42_swap,418.0,17.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_43_swap,1454.0,116.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_44_swap,189.0,5.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_45_swap,264.0,516.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_46_swap,417.0,144.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_47_swap,288.0,676.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_48_swap,157.0,640.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_49_swap,246.0,13.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_4_swap,262.0,27.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_50_swap,283.0,39.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_51_swap,264.0,86.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_52_swap,483.0,182.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_53_swap,700.0,129.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_54_swap,91.0,22.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_55_swap,622.0,285.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_56_swap,150.0,13.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_57_swap,549.0,45.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_58_swap,386.0,415.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_59_swap,246.0,71.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_5_swap,115.0,4.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_60_swap,170.0,2.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_61_swap,669.0,144.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_62_swap,220.0,7.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_63_swap,252.0,23.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_64_swap,204.0,6.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_65_swap,214.0,249.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_66_swap,537.0,39.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_67_swap,290.0,22.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_68_swap,93.0,1.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_69_swap,417.0,68.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_6_swap,184.0,5.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_70_swap,182.0,6.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_71_swap,214.0,12.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_72_swap,556.0,146.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_73_swap,353.0,451.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_74_swap,197.0,22.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_75_swap,258.0,16.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_76_swap,341.0,25.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_77_swap,110.0,17.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_78_swap,159.0,137.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_79_swap,344.0,83.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_7_swap,157.0,6.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_80_swap,656.0,81.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_81_swap,361.0,50.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_82_swap,137.0,2.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_83_swap,167.0,5.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_84_swap,40.0,2.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_85_swap,171.0,3.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_86_swap,242.0,1686.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_87_swap,235.0,26.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_88_swap,239.0,26.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_89_swap,143.0,3.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_8_swap,694.0,197.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_90_swap,79.0,8.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_91_swap,185.0,175.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_92_swap,625.0,21.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_93_swap,367.0,9.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_94_swap,471.0,599.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_95_swap,429.0,17.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_96_swap,377.0,6.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_97_swap,140.0,2.0
