"","count_DBDAD_trp1","count_ADDBD_trp1","count_DBDAD_his1","count_ADDBD_his1","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"Bfl-1:FECM04",6721,8501,20465,16861,18426.5085763479,2.83250776582529,0.292201384367679,5.40842129609293e-23,3.41584502911133e-22
"Bfl-1:Mcl1[151-321]",11067,7282,4380,3466,5951.72527266101,0.415589306734222,0.131485526108891,0.00142081214533289,0.00230401969513442
"Bfl-1:XCDP07",1664,5969,368,5830,4059.40074692772,0.450948157717071,0.538339693170107,0.362554896031144,0.410439504940918
"Bfl-1:alphaBCL2",7382,5781,1220,775,2709.4785970545,-1.0922636146745,0.272908657263302,4.85803955154084e-05,8.96868840284463e-05
"Bfl-1:alphaBCLB",8024,11961,2375,4222,5881.18728671355,-0.00521649411958382,0.121106874462041,0.9627415919782,0.970831857457008
"Bfl-1:alphaBFL1",9606,10719,38446,45510,39868.820114244,3.63081441126156,0.17224463565763,5.42313588429442e-100,3.25388153057665e-98
"Bfl-1:alphaMCL1",13591,5932,8416,5662,8709.92778848277,1.22487495589669,0.19752863414204,4.13901655972692e-10,1.155074388761e-09
"FECM04:Mcl1[151-321]",11931,8777,4886,7380,8341.00294318021,0.825956350890312,0.289469648893843,0.00353416435913185,0.00550778861163405
"FECM04:XCDP07",1606,8574,137,2467,2808.29859085664,-0.937513309826596,0.497991396099859,0.0443859102504002,0.0598461711241352
"FECM04:alphaBCL2",8075,6238,404,506,2411.69794586692,-2.28533506439077,0.271648030239377,1.32010639967483e-17,5.86713955411035e-17
"FECM04:alphaBCLB",10066,14578,1130,2742,5360.1925356156,-1.13359474120855,0.237119883001934,1.33912225990721e-06,2.86954769980117e-06
"FECM04:alphaBFL1",15989,11538,1504,1759,5283.18807860252,-1.41070160781054,0.226584337949383,3.18575672951958e-10,9.80232839852179e-10
"FECM04:alphaMCL1",11748,7601,1902,1114,3978.93862783317,-1.05252178932352,0.233614573040354,5.26234752119076e-06,1.07030797041168e-05
"Mcl1[151-321]:XCDP07",2070,10848,1609,48913,25591.888937575,2.2111409487174,0.592357621738725,5.76249987171173e-05,0.00010320895292618
"Mcl1[151-321]:alphaBCL2",8790,8939,901,762,3262.31715080811,-1.75062927884233,0.259408581897782,7.90814695354415e-12,2.87568980128878e-11
"Mcl1[151-321]:alphaBCLB",10304,21979,3010,8049,9847.43751367358,0.00953264838899066,0.112994553583518,0.926766584630202,0.942474492844273
"Mcl1[151-321]:alphaBFL1",13738,16689,7778,9164,11865.2852407659,0.773305429158094,0.15184088533915,3.12484729351469e-07,6.9441050966993e-07
"Mcl1[151-321]:alphaMCL1",11884,11830,34855,46823,39486.2091996921,3.34983863198324,0.190985179554455,5.4036750562178e-70,1.08073501124356e-68
"XCDP07:alphaBCL2",6651,1770,2025,77,1964.96806585719,-1.18583265677534,0.725099458212417,0.0639255305576856,0.0833811268143725
"XCDP07:alphaBCLB",7288,4159,4575,498,3666.45590936065,-0.195760044831542,0.645825254712467,0.735916384401314,0.767912748940501
"XCDP07:alphaBFL1",10580,2509,3742,235,3339.97635036571,-0.707647386538445,0.590571106459507,0.188572041665288,0.219695582522666
"XCDP07:alphaMCL1",10619,3279,2466,298,2981.56544686484,-1.04383008906137,0.49785151346195,0.0256721679340438,0.03582162967541
"alphaBCL2:alphaBCLB",7112,19627,450,1598,5009.2686639415,-2.1543326437656,0.158866767458147,2.6402717890568e-42,3.52036238540907e-41
"alphaBCL2:alphaBFL1",11828,15257,645,1725,5014.08813150047,-1.97251403633894,0.310583949043043,9.37152052145893e-11,3.03941206101371e-10
"alphaBCL2:alphaMCL1",11492,8717,447,882,3429.84717907514,-2.22311338389746,0.412573921653132,2.37081985222296e-08,6.05315706950544e-08
"alphaBCLB:alphaBFL1",24575,12279,3957,1669,7413.59876057579,-1.11485101054875,0.20391707757797,3.54945409714758e-08,8.87363524286896e-08
"alphaBCLB:alphaMCL1",21093,8230,2722,1790,5879.70117938541,-0.934873583781349,0.235226935759665,5.84954212342271e-05,0.000103227213942754
"alphaBFL1:alphaMCL1",19340,13820,1445,2100,6203.23253564176,-1.55432703881862,0.294769662107329,8.08162295691243e-08,1.93958950965898e-07
"2CDP06:2CDP06",153,153,7,10,51.3045305826282,-2.42424831983421,0.373347634365701,2.29498976866047e-11,8.0999638893899e-11
"BCDP01:BCDP01",1076,1076,4111,5895,4739.55169590852,3.77103566900305,0.193593137248207,5.37284475047807e-86,1.61185342514342e-84
"BECM01:BECM01",9031,9031,3539,5074,6398.64112776503,0.524432915449705,0.177963210173171,0.00281679385834463,0.00444756925001784
"Bcl-2:Bcl-2",3492,3492,1450,2079,2562.12488760085,0.600957698391771,0.231931937590471,0.00805650212498171,0.0116479548794916
"Bcl-B:Bcl-B",586,586,924,1325,1163.75507613296,2.50629748683424,0.193718682480956,7.28390199603124e-39,6.72360184249037e-38
"Bcl-w:Bcl-w",679,679,38,54,235.009067392339,-2.23558670157119,0.206001652551915,6.86466814880752e-28,4.57644543253834e-27
"Bcl-xL:Bcl-xL",56,56,38,54,56.757197662971,1.30029694938909,0.232842271862802,1.65680031807034e-08,4.4181341815209e-08
"Bfl-1:Bfl-1",3335,3335,2084,2988,3200.60040929043,1.18173121248403,0.224712543371541,1.08836573426054e-07,2.56086055120126e-07
"FECM04:FECM04",7663,7663,799,1146,3053.97991985612,-1.35066941656627,0.228063815259336,2.1846285710383e-09,5.95807792101354e-09
"Mcl1[151-321]:Mcl1[151-321]",4936,4936,2841,4073,4474.49077317243,1.07028911359432,0.195919503424123,3.71061892754553e-08,9.0872300266421e-08
"XCDP07:XCDP07",695,695,313,449,536.34891951513,0.726894067260098,0.17079018655712,1.86149496015479e-05,3.60289347126735e-05
"alphaBCL2:alphaBCL2",2153,2153,90,129,713.007620450426,-2.65462980335177,0.193948224098101,2.67176770163572e-43,4.00765155245358e-42
"alphaBCLB:alphaBCLB",8010,8010,2746,3938,5252.18286619027,0.326799634950103,0.189666643631079,0.0689235259971053,0.0889335819317487
"alphaBFL1:alphaBFL1",2260,2260,652,935,1349.51666385936,0.0811373034399868,0.191479776546889,0.651250264144927,0.702311267335897
"alphaMCL1:alphaMCL1",7951,7951,984,1411,3335.68124290501,-1.1090938457034,0.224779446049501,6.24953284636668e-07,1.36353443920728e-06
