PPI,trp1,his1
DBD:1001__mALb8x1_fdrtc_B:AD:1031__BW11_2Hx1_A,1261.0,464.0
DBD:1001__mALb8x1_fdrtc_B:AD:1031__BW11_2Hx1_B,196.0,102.0
DBD:1001__mALb8x1_fdrtc_B:AD:1032__BW11_2Hx2_A,14.0,0.0
DBD:1001__mALb8x1_fdrtc_B:AD:1032__BW11_2Hx2_B,1691.0,36870.0
DBD:1001__mALb8x1_fdrtc_B:AD:1033__BW11_2Hx12j_A,293.0,500.0
DBD:1001__mALb8x1_fdrtc_B:AD:1033__BW11_2Hx12j_B,2684.0,63662.0
DBD:1001__mALb8x1_fdrtc_B:AD:1034__BW1_2Hx1_A,2479.0,619.0
DBD:1001__mALb8x1_fdrtc_B:AD:1034__BW1_2Hx1_B,1586.0,303.0
DBD:1001__mALb8x1_fdrtc_B:AD:1035__BW2_2Hx1_A,3257.0,513.0
DBD:1001__mALb8x1_fdrtc_B:AD:1035__BW2_2Hx1_B,3049.0,459.0
DBD:1001__mALb8x1_fdrtc_B:AD:1036__BW3_2Hx1_A,2998.0,461.0
DBD:1001__mALb8x1_fdrtc_B:AD:1036__BW3_2Hx1_B,861.0,937.0
DBD:1001__mALb8x1_fdrtc_B:AD:1037__BW9_2Hx1_A,2821.0,688.0
DBD:1001__mALb8x1_fdrtc_B:AD:1037__BW9_2Hx1_B,790.0,182.0
DBD:1001__mALb8x1_fdrtc_B:AD:Jerala_P1,448.0,14.0
DBD:1001__mALb8x1_fdrtc_B:AD:Jerala_P2,2032.0,195.0
DBD:1001__mALb8x1_fdrtc_B:AD:Jerala_P3,743.0,92.0
DBD:1001__mALb8x1_fdrtc_B:AD:Jerala_P4,2003.0,169.0
DBD:1001__mALb8x1_fdrtc_B:AD:Jerala_P5,2500.0,184.0
DBD:1001__mALb8x1_fdrtc_B:AD:Jerala_P6,1235.0,218.0
DBD:1001__mALb8x1_fdrtc_B:AD:Jerala_P7,395.0,19.0
DBD:1001__mALb8x1_fdrtc_B:AD:Jerala_P8,1327.0,107.0
DBD:1001__mALb8x1_fdrtc_B:AD:Jerala_P9,2143.0,152.0
DBD:1001__mALb8x1_fdrtc_B:AD:Jerala_P10,1861.0,242.0
DBD:1001__mALb8x1_fdrtc_B:AD:Jerala_P11,950.0,9952.0
DBD:1001__mALb8x1_fdrtc_B:AD:Jerala_P12,1207.0,192.0
DBD:1002__mALb8x1_rprtc_A:AD:1002__mALb8x1_rprtc_B,2526.0,53223.0
DBD:1002__mALb8x1_rprtc_A:AD:1003__mALb8x2_fdrtc_A,1041.0,503.0
DBD:1002__mALb8x1_rprtc_A:AD:1003__mALb8x2_fdrtc_B,1127.0,108.0
DBD:1002__mALb8x1_rprtc_A:AD:1004__mALb8x2_rprtc_A,2963.0,543.0
DBD:1002__mALb8x1_rprtc_A:AD:1004__mALb8x2_rprtc_B,1048.0,2386.0
DBD:1002__mALb8x1_rprtc_A:AD:1005__mALb8x12_fdrtc_A,1806.0,409.0
DBD:1002__mALb8x1_rprtc_A:AD:1005__mALb8x12_fdrtc_B,2367.0,239.0
DBD:1002__mALb8x1_rprtc_A:AD:1006__mALb8x12_rprtc_A,2343.0,443.0
DBD:1002__mALb8x1_rprtc_A:AD:1006__mALb8x12_rprtc_B,417.0,1893.0
DBD:1002__mALb8x1_rprtc_A:AD:1007__mALb8x12j_fdrtc_A,901.0,180.0
DBD:1002__mALb8x1_rprtc_A:AD:1007__mALb8x12j_fdrtc_B,1064.0,146.0
DBD:1002__mALb8x1_rprtc_A:AD:1008__mALb8x12j_rprtc_A,2034.0,225.0
DBD:1002__mALb8x1_rprtc_A:AD:1008__mALb8x12j_rprtc_B,1014.0,19502.0
DBD:1002__mALb8x1_rprtc_A:AD:1009__IL8_2H_A,433.0,207.0
DBD:1002__mALb8x1_rprtc_A:AD:1009__IL8_2H_B,2193.0,360.0
DBD:1002__mALb8x1_rprtc_A:AD:1010__IL9_2H_A,1607.0,162.0
DBD:1002__mALb8x1_rprtc_A:AD:1010__IL9_2H_B,2134.0,320.0
DBD:1002__mALb8x1_rprtc_A:AD:1011__IL14_2H_A,5350.0,669.0
DBD:1002__mALb8x1_rprtc_A:AD:1011__IL14_2H_B,1374.0,337.0
DBD:1002__mALb8x1_rprtc_A:AD:1012__IL8_2Hx1_A,471.0,122.0
DBD:1002__mALb8x1_rprtc_A:AD:1012__IL8_2Hx1_B,1086.0,240.0
DBD:1002__mALb8x1_rprtc_A:AD:1013__IL9_2Hx1_A,1621.0,542.0
DBD:1002__mALb8x1_rprtc_A:AD:1013__IL9_2Hx1_B,2264.0,2330.0
DBD:1002__mALb8x1_rprtc_A:AD:1014__IL9_2Hx2_A,1336.0,349.0
DBD:1002__mALb8x1_rprtc_A:AD:1014__IL9_2Hx2_B,287.0,10.0
DBD:1002__mALb8x1_rprtc_A:AD:1015__IL9_2Hx12j_A,2654.0,467.0
DBD:1002__mALb8x1_rprtc_A:AD:1015__IL9_2Hx12j_B,3055.0,379.0
DBD:1002__mALb8x1_rprtc_A:AD:1016__IL14_2Hx1_A,2393.0,427.0
DBD:1002__mALb8x1_rprtc_A:AD:1016__IL14_2Hx1_B,965.0,240.0
DBD:1002__mALb8x1_rprtc_A:AD:1017__IL14_2Hx2_A,1396.0,322.0
DBD:1002__mALb8x1_rprtc_A:AD:1017__IL14_2Hx2_B,1400.0,227.0
DBD:1002__mALb8x1_rprtc_A:AD:1018__BW1_2H_A,666.0,53.0
DBD:1002__mALb8x1_rprtc_A:AD:1018__BW1_2H_B,1526.0,253.0
